,Metric,Value
0,RMSE,0.03587520495057106
1,MAE,0.024102050811052322
2,R-squared,0.9983890056610107
3,Coverage (80%),0.7790948275862069
4,Coverage (95%),0.9234913793103449
5,Sharpness (80% CI width),0.07102428376674652
6,Sharpness (95% CI width),0.12820954620838165
7,WIS,0.012473000735044482
