source_id,wdj_name,wd_class,paper_variable,paper_periodic,zg_exposure_ratio,zg_nightly_ratio,zg_monthly_ratio,zr_exposure_ratio,zr_nightly_ratio,zr_monthly_ratio,census_detected,blind_status,blind_pass,blind_basis,blind_frequency_per_day,blind_period_days,blind_period_seconds,blind_best_band,blind_baluev_fap,blind_bootstrap_fap,zg_amplitude_mmag,zr_amplitude_mmag,zg_low_a95_mmag,zr_low_a95_mmag,zg_high_a95_mmag,zr_high_a95_mmag,bls_period_days,bls_depth_snr,directed_verdict,ls_detected_including_directed,concordance_code
1510467090935595008,WDJ135309.97+484021.17,V777 Her,True,True,1.478166444675142,1.9763805260874037,1.2870847604921238,1.2425053966404216,1.7268220973083337,1.366871900722975,False,confirmed,high,multiband+zg,176.59168101105877,0.0056627809094663,489.2642705778951,zg,3.3083311604232233e-16,0.0099009900990099,10.268564310093362,8.450175780412204,7.078162670042335,6.658684885584198,4.390841364178429,4.1305827147064855,,,not_detected,True,paper-variable: LS only
3446909137068558464,WDJ052038.32+304823.92,ZZ Ceti,True,True,0.5443362672669831,1.4942634102450087,0.7936999416654371,1.1682917891389055,1.3645505474343376,0.7873117603950214,False,confirmed,high,multiband+zr,317.9808836364657,0.0031448431382537,271.7144471451231,zr,9.305691672094464e-07,0.0099009900990099,2.909868369992588,5.488582586795675,5.944442013780098,4.938292763044709,2.188617508917274,2.9357688292332167,,,not_detected,True,paper-variable: LS only
3984115430179696128,WDJ111026.19+191229.75,Old DAVs,True,True,0.7489196420003775,2.106692936627912,1.543729220833666,0.8449584980299178,1.5286854963678616,0.9628228818209894,False,confirmed,low,zg+zr,5.375200725542157,0.1860395641130475,16073.81833936731,zr,2.296126922814509e-75,0.0099009900990099,52.97468082969412,40.11098725179375,16.1478408474008,14.109353664270524,4.71546225368406,5.152284017238631,,,not_detected,True,paper-variable: LS only
2935237657195591424,WDJ070223.05-174931.25,WD-MS binaries,True,True,1.582558111293876,6.040008163497332,3.924704769539477,8.401473145922198,11.755938686591616,9.228724908343226,True,confirmed,low,zg+zr,8.815214094666636,0.1134402397106858,9801.23671100326,zr,0.0,0.0099009900990099,139.9655941787711,293.3241017860421,40.07184328251593,170.73639212047328,8.249141184063099,20.14258252119014,,,not_applicable,True,paper-variable: census+LS
1893101535448502400,WDJ220247.69+275010.67,GW Vir,True,True,0.7041567787523358,1.4686673629441225,1.1196744531258789,0.8926183739415966,1.248181267897712,0.5827126666889919,False,confirmed,low,zg+zr,1.2261154847646436,0.8155838601059286,70466.44551315224,zg,6.3378856238529305e-102,0.0099009900990099,15.536817404101686,14.95087489202118,3.381922205224776,3.550132450098389,1.416402911380249,2.073442600148449,,,not_detected,True,paper-variable: LS only
3750072904055666176,WDJ105010.80-140436.76,CV(SIMBAD),True,False,0.1486612023262144,4.272404660076294,4.84771173605172,0.2543054904210033,6.498035321684007,6.804323757665301,True,not_detected,low,,1.002369157537131,0.9976364421038733,86195.78859777463,zr,1.5887066907330753e-43,,100.6730145433252,170.86346774391458,43.55425585259287,61.28885955545501,1.172388798961139,1.778140200144425,,,not_applicable,False,paper-variable: census only
1228266814506156928,WDJ143406.77+150817.81,unclassified,False,False,0.6836151806293036,1.0990044990896597,0.7136030670738992,0.804191085965689,1.1408234154979398,0.6351692143130241,False,candidate,low,zr,0.0030001659364844,333.3148969659331,28798407.097856622,zr,2.1022671973216432e-10,0.0099009900990099,5.934437184205295,5.0636179987509,3.3030926329732564,2.947618145806084,1.8581610807871705,1.9973563853458245,,,not_applicable,False,paper-constant: one-band candidate
114808397128552576,WDJ024849.59+264332.15,unclassified,False,False,0.6699925707143648,0.9783607000373532,0.4228307439080788,0.9607529136320064,1.0275370109665762,0.6367453485998925,False,not_detected,low,,5.086296192674449,0.1966067177606079,16986.820414516525,zr,0.094690359443212,,0.5147642241192495,4.913886699696082,3.797801253755324,3.850214797475855,2.517508556118711,2.9379458502748825,,,not_applicable,False,paper-constant: quiet
1410345596469085184,WDJ163914.29+474835.84,unclassified,False,False,1.9477048604377103,2.216974666379869,1.4820708197989043,1.4220697011519323,1.731940415695532,0.8181255983671396,False,not_detected,low,,1.0000969479484672,0.9999030614495265,86391.62450923909,zg,0.3322205392240879,,11.753708108609294,4.004459822922254,8.706686591890534,6.720797453261947,6.248857627442347,4.639179095506564,,,not_applicable,False,paper-constant: quiet
5146019876066016000,WDJ022917.15-150350.42,unclassified,False,False,0.4929072310888955,1.8042143212779809,0.9385537635191727,0.5814633810798838,1.7921228694340985,1.320936688308571,False,not_detected,high,,1237.6428752455554,0.0008079875220883,69.81012190843643,zr,0.0067764376093953,,2.2628423726725804,18.92436778927829,41.90947809564217,39.112798327445255,9.807611449427194,15.898539537686585,,,not_applicable,False,paper-constant: quiet
