quantity,rule,n_scheduled,n_completed,k,p,cp_one_sided_95_upper,acceptance_u95_leq_0.005,n_completed_is_1000,prespecified_primary,confirmatory_decision,n,ess,lo,hi
fpr_gaussian,confirmed,30.0,30.0,0.0,0.0,0.09503385285530411,False,False,False,False,,,,
native_trigger_rate,confirmed,,,,0.6,,,,,,10.0,10.0,0.31267376973365824,0.8318196702937638
