arm,scenario,ratio_g,ratio_rg,phase_draw,amp_scale,dominant_dropped,cadence_code,endpoint,denominator,n_strata_scheduled,n_targets_in_scenario,n_targets,n_targets_zero_usable_strata,p,lo,hi,interval,prespecified_primary,confirmatory_decision
B,cadence_alt,1.7,0.8,0,1.0,False,1,recovery,usable,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False,False
B,cadence_alt,1.7,0.8,0,1.0,False,1,recovery,eligible,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False,False
B,cadence_alt,1.7,0.8,0,1.0,False,1,trigger,usable,1,3,3,0,0.3333333333333333,0.0,1.0,cluster_bootstrap,False,False
B,cadence_alt,1.7,0.8,0,1.0,False,1,trigger,eligible,1,3,3,0,0.3333333333333333,0.0,1.0,cluster_bootstrap,False,False
B,dropout,1.7,0.8,0,1.0,True,0,recovery,usable,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False,False
B,dropout,1.7,0.8,0,1.0,True,0,recovery,eligible,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False,False
B,dropout,1.7,0.8,0,1.0,True,0,trigger,usable,1,3,3,0,1.0,0.3684031498640387,1.0,cp_one_sided,False,False
B,dropout,1.7,0.8,0,1.0,True,0,trigger,eligible,1,3,3,0,1.0,0.3684031498640387,1.0,cp_one_sided,False,False
B,ladder_g1r1,1.4,0.7,0,1.0,False,0,recovery,usable,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False,False
B,ladder_g1r1,1.4,0.7,0,1.0,False,0,recovery,eligible,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False,False
B,ladder_g1r1,1.4,0.7,0,1.0,False,0,trigger,usable,1,3,3,0,0.6666666666666666,0.0,1.0,cluster_bootstrap,False,False
B,ladder_g1r1,1.4,0.7,0,1.0,False,0,trigger,eligible,1,3,3,0,0.6666666666666666,0.0,1.0,cluster_bootstrap,False,False
B,ladder_g1r2,1.4,0.8,0,1.0,False,0,recovery,usable,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False,False
B,ladder_g1r2,1.4,0.8,0,1.0,False,0,recovery,eligible,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False,False
B,ladder_g1r2,1.4,0.8,0,1.0,False,0,trigger,usable,1,3,3,0,0.6666666666666666,0.0,1.0,cluster_bootstrap,False,False
B,ladder_g1r2,1.4,0.8,0,1.0,False,0,trigger,eligible,1,3,3,0,0.6666666666666666,0.0,1.0,cluster_bootstrap,False,False
B,ladder_g1r3,1.4,0.9,0,1.0,False,0,recovery,usable,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False,False
B,ladder_g1r3,1.4,0.9,0,1.0,False,0,recovery,eligible,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False,False
B,ladder_g1r3,1.4,0.9,0,1.0,False,0,trigger,usable,1,3,3,0,0.6666666666666666,0.0,1.0,cluster_bootstrap,False,False
B,ladder_g1r3,1.4,0.9,0,1.0,False,0,trigger,eligible,1,3,3,0,0.6666666666666666,0.0,1.0,cluster_bootstrap,False,False
B,ladder_g2r1,1.7,0.7,0,1.0,False,0,recovery,usable,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False,False
B,ladder_g2r1,1.7,0.7,0,1.0,False,0,recovery,eligible,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False,False
B,ladder_g2r1,1.7,0.7,0,1.0,False,0,trigger,usable,1,3,3,0,0.6666666666666666,0.0,1.0,cluster_bootstrap,False,False
B,ladder_g2r1,1.7,0.7,0,1.0,False,0,trigger,eligible,1,3,3,0,0.6666666666666666,0.0,1.0,cluster_bootstrap,False,False
B,ladder_g2r3,1.7,0.9,0,1.0,False,0,recovery,usable,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False,False
B,ladder_g2r3,1.7,0.9,0,1.0,False,0,recovery,eligible,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False,False
B,ladder_g2r3,1.7,0.9,0,1.0,False,0,trigger,usable,1,3,3,0,0.6666666666666666,0.0,1.0,cluster_bootstrap,False,False
B,ladder_g2r3,1.7,0.9,0,1.0,False,0,trigger,eligible,1,3,3,0,0.6666666666666666,0.0,1.0,cluster_bootstrap,False,False
B,ladder_g3r1,2.1,0.7,0,1.0,False,0,recovery,usable,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False,False
B,ladder_g3r1,2.1,0.7,0,1.0,False,0,recovery,eligible,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False,False
B,ladder_g3r1,2.1,0.7,0,1.0,False,0,trigger,usable,1,3,3,0,0.6666666666666666,0.0,1.0,cluster_bootstrap,False,False
B,ladder_g3r1,2.1,0.7,0,1.0,False,0,trigger,eligible,1,3,3,0,0.6666666666666666,0.0,1.0,cluster_bootstrap,False,False
B,ladder_g3r2,2.1,0.8,0,1.0,False,0,recovery,usable,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False,False
B,ladder_g3r2,2.1,0.8,0,1.0,False,0,recovery,eligible,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False,False
B,ladder_g3r2,2.1,0.8,0,1.0,False,0,trigger,usable,1,3,3,0,0.6666666666666666,0.0,1.0,cluster_bootstrap,False,False
B,ladder_g3r2,2.1,0.8,0,1.0,False,0,trigger,eligible,1,3,3,0,0.6666666666666666,0.0,1.0,cluster_bootstrap,False,False
B,ladder_g3r3,2.1,0.9,0,1.0,False,0,recovery,usable,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False,False
B,ladder_g3r3,2.1,0.9,0,1.0,False,0,recovery,eligible,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False,False
B,ladder_g3r3,2.1,0.9,0,1.0,False,0,trigger,usable,1,3,3,0,0.6666666666666666,0.0,1.0,cluster_bootstrap,False,False
B,ladder_g3r3,2.1,0.9,0,1.0,False,0,trigger,eligible,1,3,3,0,0.6666666666666666,0.0,1.0,cluster_bootstrap,False,False
B,nominal,1.7,0.8,0,1.0,False,0,recovery,usable,3,10,10,0,0.16666666666666666,0.06666666666666667,0.2666666666666667,cluster_bootstrap,False,False
B,nominal,1.7,0.8,0,1.0,False,0,recovery,eligible,3,10,10,0,0.16666666666666666,0.06666666666666667,0.2666666666666667,cluster_bootstrap,False,False
B,nominal,1.7,0.8,0,1.0,False,0,trigger,usable,3,10,10,0,0.5666666666666667,0.39999999999999997,0.7333333333333333,cluster_bootstrap,False,False
B,nominal,1.7,0.8,0,1.0,False,0,trigger,eligible,3,10,10,0,0.5666666666666667,0.39999999999999997,0.7333333333333333,cluster_bootstrap,False,False
B,nominal,1.7,0.8,0,1.0,False,0,paired_census_minus_ls_discordance,usable,3,10,10,0,-0.13333333333333333,-0.33333333333333337,0.06666666666666667,cluster_bootstrap,False,False
B,phase_1,1.7,0.8,1,1.0,False,0,recovery,usable,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False,False
B,phase_1,1.7,0.8,1,1.0,False,0,recovery,eligible,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False,False
B,phase_1,1.7,0.8,1,1.0,False,0,trigger,usable,1,3,3,0,0.6666666666666666,0.0,1.0,cluster_bootstrap,False,False
B,phase_1,1.7,0.8,1,1.0,False,0,trigger,eligible,1,3,3,0,0.6666666666666666,0.0,1.0,cluster_bootstrap,False,False
B,phase_2,1.7,0.8,2,1.0,False,0,recovery,usable,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False,False
B,phase_2,1.7,0.8,2,1.0,False,0,recovery,eligible,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False,False
B,phase_2,1.7,0.8,2,1.0,False,0,trigger,usable,1,3,3,0,0.6666666666666666,0.0,1.0,cluster_bootstrap,False,False
B,phase_2,1.7,0.8,2,1.0,False,0,trigger,eligible,1,3,3,0,0.6666666666666666,0.0,1.0,cluster_bootstrap,False,False
B,redilution,1.7,0.8,0,1.0,False,0,recovery,usable,1,2,2,0,0.0,0.0,0.776393202250021,cp_one_sided,False,False
B,redilution,1.7,0.8,0,1.0,False,0,recovery,eligible,1,2,2,0,0.0,0.0,0.776393202250021,cp_one_sided,False,False
B,redilution,1.7,0.8,0,1.0,False,0,trigger,usable,1,2,2,0,0.5,0.0,1.0,cluster_bootstrap,False,False
B,redilution,1.7,0.8,0,1.0,False,0,trigger,eligible,1,2,2,0,0.5,0.0,1.0,cluster_bootstrap,False,False
