arm,scenario,ratio_g,ratio_rg,phase_draw,amp_scale,dominant_dropped,cadence_code,endpoint,denominator,contrast,n_targets_matched,p_scenario,lo_scenario,hi_scenario,p_nominal_k1,lo_nominal_k1,hi_nominal_k1,diff,diff_lo,diff_hi,discordance_u95,interval,prespecified_primary,confirmatory_decision
B,ladder_g3r1,2.1,0.7,0,1.0,False,0,trigger,usable,scenario_minus_nominal_k1,3,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,1.0,0.0,-0.6315968501359612,0.6315968501359612,0.6315968501359612,cp_discordance_bound,False,False
B,ladder_g3r1,2.1,0.7,0,1.0,False,0,trigger,eligible,scenario_minus_nominal_k1,3,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,1.0,0.0,-0.6315968501359612,0.6315968501359612,0.6315968501359612,cp_discordance_bound,False,False
B,ladder_g3r2,2.1,0.8,0,1.0,False,0,recovery,usable,scenario_minus_nominal_k1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6315968501359612,0.6315968501359612,0.6315968501359612,cp_discordance_bound,False,False
B,ladder_g3r2,2.1,0.8,0,1.0,False,0,recovery,eligible,scenario_minus_nominal_k1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6315968501359612,0.6315968501359612,0.6315968501359612,cp_discordance_bound,False,False
B,ladder_g3r2,2.1,0.8,0,1.0,False,0,trigger,usable,scenario_minus_nominal_k1,3,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,1.0,0.0,-0.6315968501359612,0.6315968501359612,0.6315968501359612,cp_discordance_bound,False,False
B,ladder_g3r2,2.1,0.8,0,1.0,False,0,trigger,eligible,scenario_minus_nominal_k1,3,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,1.0,0.0,-0.6315968501359612,0.6315968501359612,0.6315968501359612,cp_discordance_bound,False,False
B,ladder_g3r3,2.1,0.9,0,1.0,False,0,recovery,usable,scenario_minus_nominal_k1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6315968501359612,0.6315968501359612,0.6315968501359612,cp_discordance_bound,False,False
B,ladder_g3r3,2.1,0.9,0,1.0,False,0,recovery,eligible,scenario_minus_nominal_k1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6315968501359612,0.6315968501359612,0.6315968501359612,cp_discordance_bound,False,False
B,ladder_g3r3,2.1,0.9,0,1.0,False,0,trigger,usable,scenario_minus_nominal_k1,3,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,1.0,0.0,-0.6315968501359612,0.6315968501359612,0.6315968501359612,cp_discordance_bound,False,False
B,ladder_g3r3,2.1,0.9,0,1.0,False,0,trigger,eligible,scenario_minus_nominal_k1,3,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,1.0,0.0,-0.6315968501359612,0.6315968501359612,0.6315968501359612,cp_discordance_bound,False,False
