,Metric,Value
0,RMSE,0.035820379853248596
1,MAE,0.024113627150654793
2,R-squared,0.9983939528465271
3,Coverage (80%),0.7855603448275862
4,Coverage (95%),0.927801724137931
5,Sharpness (80% CI width),0.07289070636034012
6,Sharpness (95% CI width),0.1315951645374298
7,WIS,0.012439351677894594
