oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
749108400003184,44825806,2458202.7602067827,58202.258067100003,17.2903652,0.0190002844,0,zg,125.4386987,45.989849599999999,0.342999995,0.00899999961,20180325257975,749,0x8,0x4,20.7999992,26.2361908,0.0342149585,-0.0451283753,2.01730963e-05,30,1.11500001,1
749108400003184,45114768,2458205.6495843013,58205.147685199998,17.2859306,0.0189626403,0,zg,125.4387004,45.989837899999998,0.397000015,0.0879999995,20180328147662,749,0x8,0x4,19.9099998,26.3122635,0.0398243703,-0.107107766,4.54367582e-05,30,1.03699994,1
749108400003184,47317594,2458227.6759183332,58227.175949099998,17.3200092,0.0192561485,0,zg,125.4386523,45.989865999999999,0.446999997,0.00700000022,20180419175937,749,0x8,0x4,21.2800007,26.1960354,0.028398158,-0.0401401855,1.16228912e-05,30,1.08800006,1
749108400003184,48016335,2458234.6627063281,58234.163356500001,17.414278,0.0201208685,0,zg,125.4386937,45.989831199999998,0.569999993,0.050999999,20180426163125,749,0x8,0x4,20.6100006,26.1785088,0.034197066,-0.0500756316,2.25874574e-05,30,1.10000002,1
749108400003184,48022113,2458234.7204790097,58234.221134300002,17.3612099,0.0196243301,0,zg,125.43868759999999,45.989869499999998,0.437999994,-0.0379999988,20180426221123,749,0x8,0x4,20.7099991,26.1655807,0.0369604081,-0.0369269364,2.55661416e-05,30,1.273,1
749108400003184,48316295,2458237.6620385,58237.162951400001,17.398159,0.0199673343,0,zg,125.43869290000001,45.989844900000001,1.02999997,0.0179999992,20180429162905,749,0x8,0x4,20.3999996,26.1867199,0.0338747427,-0.0532492846,2.51203583e-05,30,1.11600006,1
749108400003184,48320350,2458237.7025904409,58237.203506899998,17.3882694,0.0198743176,0,zg,125.4386837,45.989866200000002,0.853999972,0.0189999994,20180429203426,749,0x8,0x4,20,26.1795158,0.0378151089,-0.0505341478,3.59709302e-05,30,1.23500001,1
749108400003184,49518391,2458249.6819809736,58249.183912,17.2706413,0.0188341141,0,zg,125.43863709999999,45.989865500000001,0.907000005,0.0329999998,20180511183877,749,0x8,0x4,21.1399994,26.1299648,0.0322975926,-0.027710611,1.54091158e-05,30,1.28900003,1
749108400003184,60950555,2458364.0019008261,58363.505555600001,17.4271317,0.0202450436,0,zg,125.4386228,45.989848600000002,0.800000012,0.0549999997,20180902505532,749,0x8,0x4,20.4500008,25.9916134,0.0373608768,-0.0544478111,2.72792822e-05,30,2.0769999,1
749108400003184,61549534,2458369.99208024,58369.495347199998,17.4197044,0.0201731008,0,zg,125.43865150000001,45.9898405,0.566999972,0.0340000018,20180908495347,749,0x8,0x4,21.4500008,26.0430946,0.0282000955,-0.0326473378,1.14548839e-05,30,1.98800004,1
