oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
604103100006917,59743002,2458351.9323032205,58351.430023100002,16.8471184,0.0173464082,0,zg,30.3633062,23.831345299999999,0.657999992,-0.0350000001,20180821429977,604,0x3,0x1,22.0900002,26.2712154,0.0253789052,-0.0424892306,1.13660581e-05,30,1.08000004,1
604103100006917,59744668,2458351.9489714145,58351.446689800003,16.8029938,0.01713592,0,zg,30.363312400000002,23.831347099999999,1.13499999,0.0179999992,20180821446609,604,0x3,0x1,22.1499996,26.2738991,0.024756968,-0.0555769019,1.09028952e-05,30,1.04799998,3
604103100006917,59843054,2458352.9329131418,58352.430544000003,16.8154449,0.017194353,0,zg,30.363307500000001,23.831349800000002,0.893000007,0.0140000004,20180822430486,604,0x3,0x1,22.1700001,26.2639561,0.0258985665,-0.063123472,1.22797619e-05,30,1.07299995,3
604103100006917,60644184,2458360.9448974659,58360.441840300002,16.8733902,0.0174763501,0,zg,30.363292900000001,23.831370700000001,0.754000008,0.0270000007,20180830441748,604,0x3,0x1,20.2800007,26.3343849,0.0382322147,-0.0175461657,4.1226318e-05,30,1.02100003,3
604103100006917,60848663,2458362.9898567195,58362.486631899999,16.736599,0.0168367438,0,zg,30.363319499999999,23.8313636,0.597000003,0.0410000011,20180901486539,604,0x3,0x1,20.7399998,26.3357944,0.0321262702,-0.0243407078,2.40944173e-05,30,1.01499999,3
604103100006917,60937894,2458363.8822436333,58363.378946800003,16.722374,0.0167752896,0,zg,30.363299600000001,23.831354600000001,0.833999991,-0.0340000018,20180902378912,604,0x3,0x1,20.7700005,26.2853222,0.0362424552,-0.0472947024,2.83050213e-05,30,1.12300003,1
604103100006917,60937986,2458363.8831580067,58363.379861100002,16.6887245,0.0166335031,0,zg,30.363309900000001,23.831355599999998,0.632000029,0.00400000019,20180902379850,604,0x3,0x1,20.9200001,26.2685127,0.0332706831,-0.0414955206,2.33709125e-05,30,1.12,3
604103100006917,61042133,2458364.9247111012,58364.421330999998,16.9136124,0.0176821761,0,zg,30.363320300000002,23.831351900000001,0.462000012,-0.00800000038,20180903421285,604,0x3,0x1,21.2199993,26.2755032,0.0308315437,-0.0478548184,1.78889295e-05,30,1.03100002,3
604103100006917,61140355,2458365.9070108314,58365.403553199998,16.7942982,0.0170955583,0,zg,30.363306999999999,23.831341500000001,0.908999979,-0.0370000005,20180904403542,604,0x3,0x1,21.6700001,26.3265991,0.0269463584,-0.0701915845,1.29745767e-05,30,1.05299997,3
604103100006917,61242598,2458366.9295211807,58366.4259838,16.777359,0.0170179624,0,zg,30.363326000000001,23.831339,0.828000009,-0.0340000018,20180905425938,604,0x3,0x1,21.8199997,26.335556,0.025156511,-0.0679349452,1.1273205e-05,30,1.01999998,1
