source_id,ra,dec,tic,gmag
9600000000001116746,155.75212499999998,24.117916666666662,1116746,16.44
9600000000005624184,143.20004166666666,-37.74130555555555,5624184,15.95
9600000000007675859,273.09475,43.352111111111114,7675859,16.24
9600000000008445665,246.15337499999995,32.214666666666666,8445665,16.72
9600000000013566624,132.89520833333333,-7.474527777777778,13566624,16.44
9600000000014448610,110.75083333333336,16.284555555555556,14448610,15.08
9600000000021187072,276.5251666666667,48.486472222222226,21187072,16.28
9600000000024603397,80.66941666666666,-8.041583333333334,24603397,14.71
9600000000029862344,24.313166666666667,-17.456305555555556,29862344,15.25
9600000000030545382,199.12841666666668,-39.40133333333333,30545382,15.77
9600000000033717565,61.401625,-76.47447222222222,33717565,16.5
9600000000046847635,142.31958333333333,-8.675611111111111,46847635,16.75
9600000000055650407,73.86362500000001,-62.979055555555554,55650407,14.97
9600000000063281499,337.24229166666663,-31.09825,63281499,15.61
9600000000065144290,107.8085,-25.304166666666667,65144290,14.47
9600000000072517198,207.265125,14.331916666666666,72517198,16.64
9600000000072637474,32.03275,-29.52722222222222,72637474,15.92
9600000000079353860,319.56466666666665,-53.222972222222225,79353860,15.92
9600000000081848974,168.08929166666664,-51.501083333333334,81848974,16.4
9600000000088046487,147.52895833333332,18.626083333333337,88046487,16.68
9600000000094748632,112.938,23.898055555555555,94748632,16.14
9600000000103700861,155.80270833333333,67.41847222222222,103700861,16.8
9600000000114058447,55.293875,19.133444444444443,114058447,15.84
9600000000116373308,45.547625,48.00377777777778,116373308,16.33
9600000000141179495,180.28962500000003,42.9965,141179495,16.11
9600000000141976247,96.36445833333332,-75.67825,141976247,15.58
9600000000149863849,265.95533333333333,-39.14052777777778,149863849,13.53
9600000000156064657,9.348958333333334,-48.36552777777778,156064657,16.6
9600000000158068117,90.22045833333333,-46.51141666666667,158068117,16.09
9600000000159973152,50.130875,-36.94933333333333,159973152,16.5
9600000000167486543,72.13379166666667,-10.897194444444445,167486543,16.23
9600000000188087204,161.61583333333334,-25.20438888888889,188087204,16.83
9600000000192937035,122.23658333333334,46.21669444444445,192937035,16.23
9600000000201860926,37.983375,-53.96477777777778,201860926,16.78
9600000000207206751,48.32775,-56.12638888888889,207206751,14.62
9600000000220555122,44.08891666666668,-63.477833333333336,220555122,15.87
9600000000229581336,270.31404166666664,72.31361111111111,229581336,16.05
9600000000230029140,292.2244583333333,61.09686111111111,230029140,16.45
9600000000230384389,285.8315,60.59794444444445,230384389,15.01
9600000000231277791,42.32595833333333,-53.5765,231277791,16.46
9600000000232979174,218.5745,65.66652777777779,232979174,16.14
9600000000238815671,328.04841666666664,-63.54344444444444,238815671,16.12
9600000000264172524,294.58158333333336,69.15313888888889,264172524,16.42
9600000000273206673,68.46245833333333,48.84419444444445,273206673,15.86
9600000000282783760,198.61175,17.53588888888889,282783760,16.3
9600000000287926830,327.66925000000003,30.59280555555555,287926830,15.94
9600000000304024058,140.73433333333332,-68.28019444444445,304024058,16.1
9600000000313109945,211.4190416666667,74.64980555555556,313109945,15.59
9600000000317153172,350.63295833333336,-83.22036111111112,317153172,16.47
9600000000343296348,265.9333333333333,-74.41041666666668,343296348,15.85
9600000000344130696,279.284625,-76.98497222222223,344130696,15.39
9600000000353727306,40.12358333333333,66.61027777777777,353727306,15.6
9600000000370239521,327.6007916666667,-53.977,370239521,14.65
9600000000375199799,309.4608333333333,6.207666666666666,375199799,16.41
9600000000380298520,303.43025,34.23222222222223,380298520,15.68
9600000000394015496,329.5995,-58.89827777777778,394015496,15.81
9600000000409732714,126.01395833333332,-12.328777777777775,409732714,14.74
9600000000415337224,58.726083333333335,7.768416666666667,415337224,16.54
9600000000423658036,202.35337499999997,-23.871305555555555,423658036,16.01
9600000000428670887,179.669375,-20.497555555555557,428670887,16.01
9600000000441500792,46.701458333333335,-17.39247222222222,441500792,16.68
9600000000442962289,81.4485,-17.563861111111112,442962289,16.51
9600000000453210132,117.92291666666664,11.341611111111112,453210132,16.41
9600000000461203226,181.71204166666664,-38.097,461203226,15.67
9600000000600589802,15.106500000000002,42.31136111111111,600589802,16.56
9600000000610337553,13.944666666666668,-15.081305555555556,610337553,17.36
9600000000631161222,21.603041666666662,-71.28663888888889,631161222,16.96
