tic,paper,period_s,amp_ppt
712406809,romero2022,873.0,9.61
712406809,romero2022,115.924,8.65
712406809,romero2022,624.28,7.92
724128806,romero2022,290.18,10.34
733030384,romero2022,275.49,7.35
733030384,romero2022,411.28,6.26
800153845,romero2022,878.34,42.93
800153845,romero2022,712.44,17.89
804835539,romero2022,1007.21,15.73
804899734,romero2022,394.71,24.02
804899734,romero2022,558.78,11.31
951016050,romero2022,818.45,15.06
951016050,romero2022,644.63,10.63
1001545355,romero2022,516.18,17.79
1001545355,romero2022,761.14,15.78
1001545355,romero2022,955.19,15.47
1001545355,romero2022,1058.1,11.08
1001545355,romero2022,249.97,10.99
1102242692,romero2022,1009.04,9.56
1102242692,romero2022,406.17,7.37
1102346472,romero2022,458.13,27.73
1173423962,romero2022,618.36,38.36
1173423962,romero2022,794.8,30.33
1108505075,romero2022,693.55,45.47
1108505075,romero2022,1323.54,36.69
1108505075,romero2022,1801.77,36.09
1201194272,romero2022,840.92,8.37
1309155088,romero2022,769.06,17.29
1989258883,romero2022,909.04,10.78
1989866634,romero2022,613.97,22.22
2026445610,romero2022,825.25,25.56
2026445610,romero2022,815.53,20.52
2026445610,romero2022,317.74,15.17
2055504010,romero2022,990.32,14.56
2055504010,romero2022,818.73,12.92
2055504010,romero2022,774.69,13.25
1116746,romero2025,303.01,8.61
14448610,romero2025,472.13,5.42
14448610,romero2025,496.91,4.89
14448610,romero2025,634.34,4.7
14448610,romero2025,679.27,3.47
14448610,romero2025,527.92,3.08
14448610,romero2025,373.57,3.04
30545382,romero2025,1160.54,9.82
30545382,romero2025,781.18,8.89
30545382,romero2025,718.18,5.15
30545382,romero2025,1141.29,4.9
72517198,romero2025,848.91,14.28
81848974,romero2025,874.58,9.52
88046487,romero2025,632.15,11.28
88046487,romero2025,885.76,8.64
88046487,romero2025,829.85,6.2
94748632,romero2025,306.97,6.28
94748632,romero2025,257.63,5.69
103700861,romero2025,536.92,5.54
103700861,romero2025,715.9,4.59
114058447,romero2025,1402.65,6.7
114058447,romero2025,1401.0,3.28
114058447,romero2025,319.91,2.92
141179495,romero2025,253.86,4.46
159973152,romero2025,977.55,7.27
159973152,romero2025,922.33,6.43
159973152,romero2025,1023.48,6.07
192937035,romero2025,298.27,5.25
201860926,romero2025,893.74,6.82
201860926,romero2025,880.74,7.31
201860926,romero2025,525.06,5.89
201860926,romero2025,522.77,4.89
201860926,romero2025,520.42,7.53
201860926,romero2025,486.05,4.49
264172524,romero2025,463.08,5.69
264172524,romero2025,336.26,2.78
264172524,romero2025,847.81,2.62
375199799,romero2025,328.12,9.56
375199799,romero2025,305.53,12.98
409732714,romero2025,448.23,1.51
409732714,romero2025,940.48,1.26
423658036,romero2025,372.32,4.344
453210132,romero2025,200.31,6.93
461203226,romero2025,297.78,4.39
461203226,romero2025,259.91,10.29
600589802,romero2025,959.02,25.88
600589802,romero2025,966.99,8.87
600589802,romero2025,868.64,17.2
600589802,romero2025,530.15,12.13
600589802,romero2025,479.61,8.37
640201450,romero2025,254.87,13.59
762000503,romero2025,453.66,15.26
762000503,romero2025,299.2,13.7
762000503,romero2025,1427.68,10.18
775564285,romero2025,852.96,12.34
775564285,romero2025,895.81,9.04
775564285,romero2025,627.84,10.19
800126377,romero2025,325.05,10.18
800126377,romero2025,326.31,9.26
800420812,romero2025,507.76,23.31
800420812,romero2025,333.75,10.84
842451090,romero2025,311.8,10.51
900228144,romero2025,578.17,29.82
900228144,romero2025,826.54,28.02
900228144,romero2025,542.77,18.81
900762564,romero2025,268.39,5.12
900762564,romero2025,260.78,4.61
900762564,romero2025,885.55,4.33
902514572,romero2025,831.13,22.21
902514572,romero2025,829.56,21.94
902514572,romero2025,1879.21,18.11
902514572,romero2025,401.51,17.24
1860439362,romero2025,575.26,88.17
1860439362,romero2025,461.79,67.71
1944049427,romero2025,606.27,85.79
2045970633,romero2025,883.61,28.82
2045970633,romero2025,930.02,27.01
2045970633,romero2025,726.49,26.1
7675859,romero2025old,798.65,4.72
7675859,romero2025old,743.46,4.3
7675859,romero2025old,575.41,5.87
7675859,romero2025old,356.1,5.26
7675859,romero2025old,353.25,10.5
7675859,romero2025old,254.49,4.14
21187072,romero2025old,1076.93,4.13
21187072,romero2025old,887.47,3.32
21187072,romero2025old,823.67,3.25
21187072,romero2025old,794.27,3.13
21187072,romero2025old,776.71,3.56
33717565,romero2025old,364.92,9.3
33717565,romero2025old,526.97,6.08
33717565,romero2025old,243.02,2.04
33717565,romero2025old,703.78,1.74
33717565,romero2025old,615.13,1.74
33717565,romero2025old,484.17,1.76
33717565,romero2025old,460.54,1.77
55650407,romero2025old,320.76,1.59
55650407,romero2025old,318.01,0.59
55650407,romero2025old,262.46,7.19
55650407,romero2025old,261.61,0.47
55650407,romero2025old,206.7,0.39
55650407,romero2025old,200.66,0.88
55650407,romero2025old,200.08,4.42
55650407,romero2025old,199.52,0.59
55650407,romero2025old,153.26,0.41
55650407,romero2025old,127.03,0.48
55650407,romero2025old,126.84,1.8
63281499,romero2025old,383.7,2.73
63281499,romero2025old,320.51,7.4
63281499,romero2025old,269.13,2.31
79353860,romero2025old,982.02,2.34
79353860,romero2025old,945.15,2.63
79353860,romero2025old,525.55,2.37
149863849,romero2025old,835.84,2.08
149863849,romero2025old,811.0,1.58
149863849,romero2025old,804.01,1.51
149863849,romero2025old,800.0,3.14
149863849,romero2025old,796.04,1.53
149863849,romero2025old,789.27,3.27
149863849,romero2025old,769.67,1.99
149863849,romero2025old,763.4,3.48
149863849,romero2025old,759.78,9.91
149863849,romero2025old,756.19,2.8
149863849,romero2025old,750.1,4.59
149863849,romero2025old,660.62,2.43
149863849,romero2025old,568.09,1.96
149863849,romero2025old,491.21,4.09
149863849,romero2025old,487.35,1.94
149863849,romero2025old,398.96,10.3
149863849,romero2025old,389.68,2.39
149863849,romero2025old,379.89,3.3
149863849,romero2025old,261.18,1.69
230384389,romero2025old,756.81,0.71
230384389,romero2025old,753.07,0.85
230384389,romero2025old,749.62,0.74
230384389,romero2025old,707.93,1.41
230384389,romero2025old,494.78,0.9
230384389,romero2025old,493.86,0.85
230384389,romero2025old,457.17,1.32
230384389,romero2025old,1633.58,0.59
273206673,romero2025old,941.83,8.2
273206673,romero2025old,914.81,12.6
273206673,romero2025old,892.97,10.01
273206673,romero2025old,874.55,7.44
273206673,romero2025old,844.08,9.07
273206673,romero2025old,827.16,16.81
273206673,romero2025old,826.47,14.44
273206673,romero2025old,825.31,9.96
273206673,romero2025old,746.68,10.26
273206673,romero2025old,698.9,10.46
273206673,romero2025old,688.96,8.06
273206673,romero2025old,663.25,8.41
273206673,romero2025old,583.44,17.43
273206673,romero2025old,511.41,10.91
273206673,romero2025old,464.42,9.59
304024058,romero2025old,740.98,3.73
304024058,romero2025old,623.29,5.49
304024058,romero2025old,579.47,13.05
304024058,romero2025old,506.2,11.54
304024058,romero2025old,400.28,12.32
317153172,romero2025old,792.07,9.94
317153172,romero2025old,786.89,6.59
317153172,romero2025old,668.39,4.63
317153172,romero2025old,512.05,10.01
317153172,romero2025old,465.78,4.98
317153172,romero2025old,395.94,3.89
343296348,romero2025old,288.27,10.81
343296348,romero2025old,287.26,7.11
353727306,romero2025old,876.08,8.1
353727306,romero2025old,873.87,8.94
353727306,romero2025old,771.3,5.22
353727306,romero2025old,750.84,5.49
353727306,romero2025old,729.84,5.48
353727306,romero2025old,545.82,22.0
353727306,romero2025old,470.24,9.35
353727306,romero2025old,463.54,5.7
353727306,romero2025old,404.84,8.54
353727306,romero2025old,399.56,5.07
631161222,romero2025old,707.97,15.8
631161222,romero2025old,679.82,26.27
631161222,romero2025old,466.62,10.29
631161222,romero2025old,403.63,12.45
631161222,romero2025old,367.44,8.35
631161222,romero2025old,346.79,6.16
631344957,romero2025old,363.14,7.94
631344957,romero2025old,313.44,6.44
661119673,romero2025old,626.37,46.78
661119673,romero2025old,313.1,19.11
1102242692,romero2025old,1015.04,5.73
1102242692,romero2025old,1009.027,8.37
1102242692,romero2025old,1003.09,4.94
1102346472,romero2025old,458.13,23.45
1102346472,romero2025old,1489.65,7.27
