tic,template_k,template_source_id,template_status,wg_contrasts,a_sid,b_sid,a_status,b_status,a_usable,b_usable,pair_usable,D_A,D_B,R_A,R_B,trigger_pair_class,recovery_pair_class,analysis_status,prespecified,interval
343296348,2,2719012579552367488,confirmed,445,9303432963482220000,9203432963482220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
344130696,0,6332172027974304512,not_detected,4,9303441306960220000,9203441306960220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
344130696,1,187576000803144704,confirmed,56,9303441306961220000,9203441306961220000,not_detected,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
344130696,2,2833849800205759360,confirmed,554,9303441306962220000,9203441306962220000,not_detected,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
353727306,0,4153618204302689920,not_detected,10,9303537273060220000,9203537273060220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
353727306,1,258439731372229120,not_detected,61,9303537273061220000,9203537273061220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
353727306,2,305256043125603968,confirmed,550,9303537273062220000,9203537273062220000,confirmed,confirmed,True,True,True,True,True,True,False,both,A_only,postlaunch_descriptive,False,none
370239521,0,3414955164503979136,confirmed,23,9303702395210220000,9203702395210220000,not_detected,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
370239521,1,718385060383750784,confirmed,127,9303702395211220000,9203702395211220000,not_detected,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
370239521,2,1261751715280478848,confirmed,530,9303702395212220000,9203702395212220000,not_detected,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
375199799,0,3690323316193465344,not_detected,8,9303751997990220000,9203751997990220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
375199799,1,3238056353617774336,not_detected,62,9303751997991220000,9203751997991220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
375199799,2,1510467090935595008,confirmed,391,9303751997992220000,9203751997992220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
