bar_index,control_campaign_id,template_source_id,n_b_assignments,n_targets,analysis_status,prespecified,interval
94,9500000000000000679,4436905352274528896,1,1,postlaunch_descriptive,False,none
95,9500000000000000718,498913610243369728,1,1,postlaunch_descriptive,False,none
96,9500000000000000769,5468956993879159168,1,1,postlaunch_descriptive,False,none
97,9500000000000000778,56529573573742848,1,1,postlaunch_descriptive,False,none
98,9500000000000000791,5725503293214289280,1,1,postlaunch_descriptive,False,none
99,9500000000000000793,5728258080939094784,1,1,postlaunch_descriptive,False,none
100,9500000000000000823,6332172027974304512,1,1,postlaunch_descriptive,False,none
101,9500000000000000840,6791227822017756288,1,1,postlaunch_descriptive,False,none
102,9500000000000000866,6910816513450124288,1,1,postlaunch_descriptive,False,none
103,9500000000000000870,692071071365975552,1,1,postlaunch_descriptive,False,none
104,9500000000000000900,864813315982337792,1,1,postlaunch_descriptive,False,none
105,9500000000000000921,953685015492787456,1,1,postlaunch_descriptive,False,none
