source_id,selection_stratum,blind_status,pass,band,frequency_per_day,observed_power,bootstrap_fap,bootstrap_exceedances,bootstrap_resamples,bootstrap_resolution,resampling_scheme,block_length,grid_samples_per_peak,trials_context
3108589752806346112,confirmed_high_strong,confirmed,high,zr,127.61841410214478,0.3137695248639116,0.15841584158415842,15,100,0.009900990099009901,night_wild_sign,,2,maximum over 24..1440 d^-1
2026653131220381824,confirmed_high_strong,confirmed,high,zr,337.196016901241,0.19528776371614037,0.8613861386138614,86,100,0.009900990099009901,night_wild_sign,,2,maximum over 24..1440 d^-1
141730416074813312,confirmed_low_marginal,confirmed,low,zg,25.51931051181444,0.0672699588497107,0.009900990099009901,0,100,0.009900990099009901,moving_observation_block,24.0,2,maximum over 0.00072852313..48 d^-1
3356726158272880768,confirmed_low_marginal,confirmed,low,zr,0.966201369996918,0.02710887070886995,0.009900990099009901,0,100,0.009900990099009901,moving_observation_block,39.0,2,maximum over 0.00072666269..48 d^-1
5163781391195902464,confirmed_low_marginal,confirmed,low,zg,8.277084870439065,0.08352790154203259,0.009900990099009901,0,100,0.009900990099009901,moving_observation_block,22.0,2,maximum over 0.00076424554..48 d^-1
5185437677159551872,confirmed_low_marginal,confirmed,low,zg,43.01057488746184,0.07678041795429398,0.009900990099009901,0,100,0.009900990099009901,moving_observation_block,23.0,2,maximum over 0.00076104615..48 d^-1
4116044735188734464,confirmed_low_marginal,confirmed,low,zr,6.526047790322235,0.06812710059570172,0.0594059405940594,5,100,0.009900990099009901,moving_observation_block,24.0,2,maximum over 0.00075394457..48 d^-1
1004340654352214656,confirmed_low_strong,confirmed,low,zr,3.822862251204872,0.8403145000052045,0.009900990099009901,0,100,0.009900990099009901,moving_observation_block,42.0,2,maximum over 0.00072692341..48 d^-1
1622933901956297856,confirmed_low_strong,confirmed,low,zr,3.466688885594752,0.7952161691124712,0.009900990099009901,0,100,0.009900990099009901,moving_observation_block,38.0,2,maximum over 0.00072417307..48 d^-1
1863757043284422784,confirmed_low_strong,confirmed,low,zg,1.2345956969290846,0.9750364456986006,0.009900990099009901,0,100,0.009900990099009901,moving_observation_block,24.0,2,maximum over 0.00072419839..48 d^-1
1898174235426878208,confirmed_low_strong,confirmed,low,zg,4.024000293013391,0.8787927674261732,0.009900990099009901,0,100,0.009900990099009901,moving_observation_block,27.0,2,maximum over 0.0007299944..48 d^-1
318552918277214080,confirmed_low_strong,confirmed,low,zg,7.9142482267901375,0.9299501441693863,0.009900990099009901,0,100,0.009900990099009901,moving_observation_block,37.0,2,maximum over 0.00074242479..48 d^-1
