source_id,wdj_name,wd_class,known_roster,in_core,n_variants,ls_complete,blind_status,best_pass,best_frequency_per_day,best_period_days,best_period_seconds,basis,best_band_fap,zg_fap,zr_fap,zg_amplitude_mmag,zr_amplitude_mmag,zg_alias,zr_alias,low_zg_a95_mmag,low_zr_a95_mmag,high_zg_a95_mmag,high_zr_a95_mmag,low_pass_available,high_pass_available,low_unavailable_reason,high_unavailable_reason,n_exp_zg,n_exp_zr,baseline_days,bootstrap_fap,bootstrap_exceedances,bootstrap_resamples,bootstrap_resolution,selection_stratum
1004340654352214656,WDJ063313.84+575609.40,unclassified,False,True,4,True,confirmed,low,3.822862251204872,0.2615841048640517,22600.86666025407,zg+zr,0.0,2.4829521388322908e-186,0.0,50.930223461028895,132.19902964603378,False,False,10.219513973324416,33.5376777457628,4.895336411858702,7.065979826285233,True,True,,,1178,1732,2764.34234497184,0.0099009900990099,0.0,100.0,0.0099009900990099,confirmed_low_strong
1898174235426878208,WDJ215832.88+320635.78,unclassified,False,True,4,True,confirmed,low,4.024000293013391,0.2485089282265298,21471.17139877218,zg+zr,0.0,0.0,1.3516957844206624e-285,71.39930630010008,65.63887335295462,False,False,13.31099530443305,16.673334326340253,2.922631968445666,3.867183870415359,True,True,,,740,1068,2739.7860828046687,0.0099009900990099,0.0,100.0,0.0099009900990099,confirmed_low_strong
1863757043284422784,WDJ202841.38+325837.35,unclassified,False,True,4,True,confirmed,low,1.2345956969290846,0.8099817636554101,69982.42437982743,zg+zr,0.0,0.0,0.0,233.7743055565876,232.3305858402628,False,False,42.09424778690173,74.29759650392506,5.744136689247304,4.4965549802135385,True,True,,,597,1098,2770.623620759696,0.0099009900990099,0.0,100.0,0.0099009900990099,confirmed_low_strong
1622933901956297856,WDJ155517.49+580637.83,unclassified,False,True,4,True,confirmed,low,3.466688885594752,0.2884596896350675,24922.917184469832,zg+zr,0.0,6.912060504767417e-165,0.0,21.22928274767753,55.84661602091139,False,False,3.967332691896096,7.666520838398111,2.026397874518905,3.2826762128071683,True,True,,,1316,1465,2761.770760504063,0.0099009900990099,0.0,100.0,0.0099009900990099,confirmed_low_strong
318552918277214080,WDJ014841.05+363350.14,unclassified,False,True,4,True,confirmed,low,7.9142482267901375,0.1263543891149318,10917.019219530108,zg+zr,0.0,0.0,0.0,109.63717911831704,242.58359229615283,False,False,15.487599099741892,31.67453514323956,7.133577086602045,11.76810133148852,True,True,,,1343,1864,2693.875575930346,0.0099009900990099,0.0,100.0,0.0099009900990099,confirmed_low_strong
5163781391195902464,WDJ033131.05-102309.96,unclassified,False,True,4,True,confirmed,low,8.277084870439065,0.1208154822202462,10438.457663829276,multiband+zg,0.0008007447177135,0.0008007447177135,1.0,10.83481803693845,0.7886518165476388,False,False,7.606450693696834,9.172485690090651,3.033630304272473,3.2192121788932946,True,True,,,471,465,2616.95999727631,,,,,confirmed_low_marginal
3356726158272880768,WDJ062516.34+145558.50,unclassified,False,True,4,True,confirmed,low,0.966201369996918,1.0349809377761383,89422.35302385836,multiband+zr,0.0008853917421816,1.0,0.0008853917421816,10.6089589247641,9.885065835113394,False,False,12.247911995180308,7.721973910094496,6.791260155374408,5.150495806884021,True,True,,,782,1483,2764.330586706288,,,,,confirmed_low_marginal
4116044735188734464,WDJ171346.28-205843.82,unclassified,False,True,4,True,confirmed,low,6.526047790322235,0.1532320988336837,13239.253339230274,multiband+zr,0.0009284099812386,1.0,0.0009284099812386,14.55564333132742,10.377143014592448,False,False,15.029192307036364,13.499655208257488,3.7418109298784175,4.334942959684773,True,True,,,210,582,2661.810112049803,,,,,confirmed_low_marginal
5185437677159551872,WDJ024845.71-040936.67,unclassified,False,True,4,True,confirmed,low,43.01057488746184,0.0232500961127937,2008.8083041453776,multiband+zg,0.0009317130985424,0.0009317130985424,1.0,23.04328711535717,6.499560741362695,False,False,16.832871268430086,15.504931474532794,5.483327684573431,5.801833681637535,True,True,,,509,504,2631.9852802758105,,,,,confirmed_low_marginal
141730416074813312,WDJ024830.32+372526.22,unclassified,False,True,4,True,confirmed,low,25.51931051181444,0.0391860116885618,3385.671409891744,multiband+zg,0.0009951933767867,0.0009951933767867,1.0,16.803779556386516,1.5090454386731444,False,False,13.506757429889678,9.495171354779222,3.6120584759188064,6.028711266273874,True,True,,,582,891,2745.344548692461,,,,,confirmed_low_marginal
