quantity,rule,n_scheduled,n_completed,k,p,cp_one_sided_95_upper,acceptance_u95_leq_0.005,n_completed_is_1000,confirmatory,n,ess,lo,hi
fpr_gaussian,confirmed,30.0,30.0,0.0,0.0,0.09503385285530411,False,False,False,,,,
native_trigger_rate,confirmed,,,,0.8,,,,,10.0,10.0,0.49016247153664183,0.9433178485456247
