arm,scenario,ratio_g,ratio_rg,phase_draw,amp_scale,dominant_dropped,cadence_code,endpoint,denominator,n_strata_scheduled,n_targets_in_scenario,n_targets,n_targets_zero_usable_strata,p,lo,hi,interval,confirmatory
B,ladder_g3r1,2.1,0.7,0,1.0,False,0,freq_recovery,usable,1,3,3,0,0.3333333333333333,0.0,1.0,cluster_bootstrap,False
B,ladder_g3r1,2.1,0.7,0,1.0,False,0,freq_recovery,eligible,1,3,3,0,0.3333333333333333,0.0,1.0,cluster_bootstrap,False
B,ladder_g3r2,2.1,0.8,0,1.0,False,0,detection,usable,1,3,3,0,0.3333333333333333,0.0,1.0,cluster_bootstrap,False
B,ladder_g3r2,2.1,0.8,0,1.0,False,0,detection,eligible,1,3,3,0,0.3333333333333333,0.0,1.0,cluster_bootstrap,False
B,ladder_g3r2,2.1,0.8,0,1.0,False,0,freq_recovery,usable,1,3,3,0,0.3333333333333333,0.0,1.0,cluster_bootstrap,False
B,ladder_g3r2,2.1,0.8,0,1.0,False,0,freq_recovery,eligible,1,3,3,0,0.3333333333333333,0.0,1.0,cluster_bootstrap,False
B,ladder_g3r3,2.1,0.9,0,1.0,False,0,detection,usable,1,3,3,0,0.3333333333333333,0.0,1.0,cluster_bootstrap,False
B,ladder_g3r3,2.1,0.9,0,1.0,False,0,detection,eligible,1,3,3,0,0.3333333333333333,0.0,1.0,cluster_bootstrap,False
B,ladder_g3r3,2.1,0.9,0,1.0,False,0,freq_recovery,usable,1,3,3,0,0.3333333333333333,0.0,1.0,cluster_bootstrap,False
B,ladder_g3r3,2.1,0.9,0,1.0,False,0,freq_recovery,eligible,1,3,3,0,0.3333333333333333,0.0,1.0,cluster_bootstrap,False
B,nominal,1.7,0.8,0,1.0,False,0,detection,usable,3,10,10,0,0.5333333333333333,0.4333333333333333,0.6333333333333334,cluster_bootstrap,False
B,nominal,1.7,0.8,0,1.0,False,0,detection,eligible,3,10,10,0,0.5333333333333333,0.4333333333333333,0.6333333333333334,cluster_bootstrap,False
B,nominal,1.7,0.8,0,1.0,False,0,freq_recovery,usable,3,10,10,0,0.23333333333333334,0.06666666666666667,0.39999999999999997,cluster_bootstrap,False
B,nominal,1.7,0.8,0,1.0,False,0,freq_recovery,eligible,3,10,10,0,0.23333333333333334,0.06666666666666667,0.39999999999999997,cluster_bootstrap,False
B,nominal,1.7,0.8,0,1.0,False,0,paired_census_minus_ls_discordance,usable,3,10,10,0,-0.0666666666666667,-0.3,0.16666666666666666,cluster_bootstrap,False
B,phase_1,1.7,0.8,1,1.0,False,0,detection,usable,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False
B,phase_1,1.7,0.8,1,1.0,False,0,detection,eligible,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False
B,phase_1,1.7,0.8,1,1.0,False,0,freq_recovery,usable,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False
B,phase_1,1.7,0.8,1,1.0,False,0,freq_recovery,eligible,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False
B,phase_2,1.7,0.8,2,1.0,False,0,detection,usable,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False
B,phase_2,1.7,0.8,2,1.0,False,0,detection,eligible,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False
B,phase_2,1.7,0.8,2,1.0,False,0,freq_recovery,usable,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False
B,phase_2,1.7,0.8,2,1.0,False,0,freq_recovery,eligible,1,3,3,0,0.0,0.0,0.6315968501359612,cp_one_sided,False
B,redilution,1.7,0.8,0,1.0,False,0,detection,usable,1,2,2,0,0.0,0.0,0.776393202250021,cp_one_sided,False
B,redilution,1.7,0.8,0,1.0,False,0,detection,eligible,1,2,2,0,0.0,0.0,0.776393202250021,cp_one_sided,False
B,redilution,1.7,0.8,0,1.0,False,0,freq_recovery,usable,1,2,2,0,0.0,0.0,0.776393202250021,cp_one_sided,False
B,redilution,1.7,0.8,0,1.0,False,0,freq_recovery,eligible,1,2,2,0,0.0,0.0,0.776393202250021,cp_one_sided,False
