variant,subset,n,k,p,lo,hi
scenario=ladder_g1r2_ratio_g=1.4_ratio_rg=0.8_phase_draw=0_amp_scale=1.0_dominant_dropped=False_cadence_code=0,nominal_on_ladder_g1r2_targets_common,3,0,0.0,5.551115123125783e-17,0.5614970317550454
scenario=ladder_g1r3_ratio_g=1.4_ratio_rg=0.9_phase_draw=0_amp_scale=1.0_dominant_dropped=False_cadence_code=0,arm_b_median_window_common,3,0,0.0,5.551115123125783e-17,0.5614970317550454
scenario=ladder_g1r3_ratio_g=1.4_ratio_rg=0.9_phase_draw=0_amp_scale=1.0_dominant_dropped=False_cadence_code=0,nominal_on_ladder_g1r3_targets_common,3,0,0.0,5.551115123125783e-17,0.5614970317550454
scenario=ladder_g2r1_ratio_g=1.7_ratio_rg=0.7_phase_draw=0_amp_scale=1.0_dominant_dropped=False_cadence_code=0,arm_b_median_window_common,3,0,0.0,5.551115123125783e-17,0.5614970317550454
scenario=ladder_g2r1_ratio_g=1.7_ratio_rg=0.7_phase_draw=0_amp_scale=1.0_dominant_dropped=False_cadence_code=0,nominal_on_ladder_g2r1_targets_common,3,0,0.0,5.551115123125783e-17,0.5614970317550454
scenario=ladder_g2r3_ratio_g=1.7_ratio_rg=0.9_phase_draw=0_amp_scale=1.0_dominant_dropped=False_cadence_code=0,arm_b_median_window_common,3,1,0.3333333333333333,0.06149194472039621,0.7923403991979522
scenario=ladder_g2r3_ratio_g=1.7_ratio_rg=0.9_phase_draw=0_amp_scale=1.0_dominant_dropped=False_cadence_code=0,nominal_on_ladder_g2r3_targets_common,3,0,0.0,5.551115123125783e-17,0.5614970317550454
scenario=ladder_g3r1_ratio_g=2.1_ratio_rg=0.7_phase_draw=0_amp_scale=1.0_dominant_dropped=False_cadence_code=0,arm_b_median_window_common,3,1,0.3333333333333333,0.06149194472039621,0.7923403991979522
scenario=ladder_g3r1_ratio_g=2.1_ratio_rg=0.7_phase_draw=0_amp_scale=1.0_dominant_dropped=False_cadence_code=0,nominal_on_ladder_g3r1_targets_common,3,0,0.0,5.551115123125783e-17,0.5614970317550454
scenario=ladder_g3r2_ratio_g=2.1_ratio_rg=0.8_phase_draw=0_amp_scale=1.0_dominant_dropped=False_cadence_code=0,arm_b_median_window_common,3,1,0.3333333333333333,0.06149194472039621,0.7923403991979522
scenario=ladder_g3r2_ratio_g=2.1_ratio_rg=0.8_phase_draw=0_amp_scale=1.0_dominant_dropped=False_cadence_code=0,nominal_on_ladder_g3r2_targets_common,3,0,0.0,5.551115123125783e-17,0.5614970317550454
scenario=ladder_g3r3_ratio_g=2.1_ratio_rg=0.9_phase_draw=0_amp_scale=1.0_dominant_dropped=False_cadence_code=0,arm_b_median_window_common,3,1,0.3333333333333333,0.06149194472039621,0.7923403991979522
scenario=ladder_g3r3_ratio_g=2.1_ratio_rg=0.9_phase_draw=0_amp_scale=1.0_dominant_dropped=False_cadence_code=0,nominal_on_ladder_g3r3_targets_common,3,0,0.0,5.551115123125783e-17,0.5614970317550454
scenario=nominal_ratio_g=1.7_ratio_rg=0.8_phase_draw=0_amp_scale=1.0_dominant_dropped=False_cadence_code=0,arm_b_median_window,10,2,0.2,0.05668215145437519,0.5098375284633583
scenario=phase_1_ratio_g=1.7_ratio_rg=0.8_phase_draw=1_amp_scale=1.0_dominant_dropped=False_cadence_code=0,arm_b_median_window_common,3,0,0.0,5.551115123125783e-17,0.5614970317550454
scenario=phase_1_ratio_g=1.7_ratio_rg=0.8_phase_draw=1_amp_scale=1.0_dominant_dropped=False_cadence_code=0,nominal_on_phase_1_targets_common,3,0,0.0,5.551115123125783e-17,0.5614970317550454
scenario=phase_2_ratio_g=1.7_ratio_rg=0.8_phase_draw=2_amp_scale=1.0_dominant_dropped=False_cadence_code=0,arm_b_median_window_common,3,0,0.0,5.551115123125783e-17,0.5614970317550454
scenario=phase_2_ratio_g=1.7_ratio_rg=0.8_phase_draw=2_amp_scale=1.0_dominant_dropped=False_cadence_code=0,nominal_on_phase_2_targets_common,3,0,0.0,5.551115123125783e-17,0.5614970317550454
scenario=redilution_ratio_g=1.7_ratio_rg=0.8_phase_draw=0_amp_scale=1.0_dominant_dropped=False_cadence_code=0,arm_b_median_window_common,2,0,0.0,0.0,0.6576197724933469
scenario=redilution_ratio_g=1.7_ratio_rg=0.8_phase_draw=0_amp_scale=1.0_dominant_dropped=False_cadence_code=0,nominal_on_redilution_targets_common,2,1,0.5,0.09453120573423074,0.9054687942657693
