arm,scenario,ratio_g,ratio_rg,phase_draw,amp_scale,dominant_dropped,cadence_code,endpoint,denominator,contrast,n_targets_matched,p_scenario,lo_scenario,hi_scenario,p_nominal_k1,lo_nominal_k1,hi_nominal_k1,diff,diff_lo,diff_hi,interval,confirmatory
B,ladder_g3r3,2.1,0.9,0,1.0,False,0,detection,usable,scenario_minus_nominal_k1,3,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,paired_cluster_bootstrap_common_draws,False
B,ladder_g3r3,2.1,0.9,0,1.0,False,0,detection,eligible,scenario_minus_nominal_k1,3,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,paired_cluster_bootstrap_common_draws,False
B,ladder_g3r3,2.1,0.9,0,1.0,False,0,freq_recovery,usable,scenario_minus_nominal_k1,3,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,paired_cluster_bootstrap_common_draws,False
B,ladder_g3r3,2.1,0.9,0,1.0,False,0,freq_recovery,eligible,scenario_minus_nominal_k1,3,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,paired_cluster_bootstrap_common_draws,False
B,phase_1,1.7,0.8,1,1.0,False,0,detection,usable,scenario_minus_nominal_k1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_cluster_bootstrap_common_draws,False
B,phase_1,1.7,0.8,1,1.0,False,0,detection,eligible,scenario_minus_nominal_k1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_cluster_bootstrap_common_draws,False
B,phase_1,1.7,0.8,1,1.0,False,0,freq_recovery,usable,scenario_minus_nominal_k1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_cluster_bootstrap_common_draws,False
B,phase_1,1.7,0.8,1,1.0,False,0,freq_recovery,eligible,scenario_minus_nominal_k1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_cluster_bootstrap_common_draws,False
B,phase_2,1.7,0.8,2,1.0,False,0,detection,usable,scenario_minus_nominal_k1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_cluster_bootstrap_common_draws,False
B,phase_2,1.7,0.8,2,1.0,False,0,detection,eligible,scenario_minus_nominal_k1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_cluster_bootstrap_common_draws,False
B,phase_2,1.7,0.8,2,1.0,False,0,freq_recovery,usable,scenario_minus_nominal_k1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_cluster_bootstrap_common_draws,False
B,phase_2,1.7,0.8,2,1.0,False,0,freq_recovery,eligible,scenario_minus_nominal_k1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_cluster_bootstrap_common_draws,False
B,redilution,1.7,0.8,0,1.0,False,0,detection,usable,scenario_minus_nominal_k1,2,0.0,0.0,0.0,0.5,0.0,1.0,-0.5,-1.0,0.0,paired_cluster_bootstrap_common_draws,False
B,redilution,1.7,0.8,0,1.0,False,0,detection,eligible,scenario_minus_nominal_k1,2,0.0,0.0,0.0,0.5,0.0,1.0,-0.5,-1.0,0.0,paired_cluster_bootstrap_common_draws,False
B,redilution,1.7,0.8,0,1.0,False,0,freq_recovery,usable,scenario_minus_nominal_k1,2,0.0,0.0,0.0,0.5,0.0,1.0,-0.5,-1.0,0.0,paired_cluster_bootstrap_common_draws,False
B,redilution,1.7,0.8,0,1.0,False,0,freq_recovery,eligible,scenario_minus_nominal_k1,2,0.0,0.0,0.0,0.5,0.0,1.0,-0.5,-1.0,0.0,paired_cluster_bootstrap_common_draws,False
