sid,external_id,class_label,label_positive,weight,cluster,primary_freq,amp,truth_period_days,freq_scorable,arm,scenario,template_k,pool_index,ratio_g,ratio_rg,phase_draw,amp_scale,dominant_dropped,dropped_period_s,crowdsap,cadence_code,cadence_s,n_strata_scheduled,null_serial,control_campaign_id,shard_sha256,median_exp_per_night,template_status,baseline_days,n_exp_zg,n_exp_zr,best_pass,best_status,best_frequency_per_day,low_available,high_available,low_status,low_frequency_per_day,low_match,low_match_primary,low_eligible,high_status,high_frequency_per_day,high_match,high_match_primary,high_eligible,best_candidate_matches_any_mode,best_candidate_matches_dominant,any_top_peak_matches_any_mode,eligible_any_pass,census_variable,census_g_nightly,prov_valid,platform_boundary_sensitive,platform_boundary_fields
9200084456651310000,TIC 8445665,arm_B,True,1.0,8445665,106.30444411634431,18.2,0.009406944444444443,True,B,ladder_g3r1,1,567,2.1,0.7,0,1.0,False,,,0,120.0,1,-1,9500000000000000567,08065356ccf3cf64ddc09a551b4e19e6d2d3b56a99811c34c71876388ebd0212,1.0,not_detected,2765.320685334038,278,480,high,confirmed,106.3045230186412,True,True,not_detected,27.858685760597105,unmatched,unmatched,False,confirmed,106.3045230186412,direct,direct,True,direct,direct,True,True,True,True,True,False,
9200084456651320000,TIC 8445665,arm_B,True,1.0,8445665,106.30444411634431,18.2,0.009406944444444443,True,B,ladder_g3r2,1,567,2.1,0.8,0,1.0,False,,,0,120.0,1,-1,9500000000000000567,b645c06806be4007d88a5fb56f361ede1c9d16406af1e462f316dc7e8dc2d2be,1.0,not_detected,2765.320685334038,278,480,high,confirmed,106.3045230186412,True,True,not_detected,27.858685760597105,unmatched,unmatched,False,confirmed,106.3045230186412,direct,direct,True,direct,direct,True,True,True,True,True,False,
9200084456651330000,TIC 8445665,arm_B,True,1.0,8445665,106.30444411634431,18.2,0.009406944444444443,True,B,ladder_g3r3,1,567,2.1,0.9,0,1.0,False,,,0,120.0,1,-1,9500000000000000567,548ee284f1d039673ed995bb4b1636032fe03c7a557d3ce18ddb3a535df4c29b,1.0,not_detected,2765.320685334038,278,480,high,confirmed,106.3045230186412,True,True,not_detected,27.858685760597105,unmatched,unmatched,False,confirmed,106.3045230186412,direct,direct,True,direct,direct,True,True,True,True,True,False,
9200084456651221000,TIC 8445665,arm_B,True,1.0,8445665,106.30444411634431,18.2,0.009406944444444443,True,B,phase_1,1,567,1.7,0.8,1,1.0,False,,,0,120.0,1,-1,9500000000000000567,c3ef1e1a8bc587eaf490f5070589f6b7fdc0e36380d3b98f0c2d9c2b63435a36,1.0,not_detected,2765.320685334038,278,480,high,not_detected,116.30990870383084,True,True,not_detected,13.934514070777777,unmatched,unmatched,False,not_detected,116.30990870383084,unmatched,unmatched,True,unmatched,unmatched,True,True,False,False,True,False,
9200084456651222000,TIC 8445665,arm_B,True,1.0,8445665,106.30444411634431,18.2,0.009406944444444443,True,B,phase_2,1,567,1.7,0.8,2,1.0,False,,,0,120.0,1,-1,9500000000000000567,13bc77b2f6152ae45da7750a9a0d823d109e27acabfcddbf74c653fce8adeb00,1.0,not_detected,2765.320685334038,278,480,high,not_detected,135.35182318386492,True,True,not_detected,35.35900936140024,unmatched,unmatched,False,not_detected,135.35182318386492,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,True,False,
9200084456651220100,TIC 8445665,arm_B,True,1.0,8445665,106.30444411634431,18.2,0.009406944444444443,True,B,ampscale_0.7,1,567,1.7,0.8,0,0.7,False,,,0,120.0,1,-1,9500000000000000567,7681b896272fc21e8781db6ce6549a3c622578331c9ed2e6a090cf5680cc5631,1.0,not_detected,2765.320685334038,278,480,high,candidate,106.3045230186412,True,True,not_detected,27.858685760597105,unmatched,unmatched,False,candidate,106.3045230186412,direct,direct,True,direct,direct,True,True,False,False,True,False,
9200084456651220200,TIC 8445665,arm_B,True,1.0,8445665,106.30444411634431,18.2,0.009406944444444443,True,B,ampscale_1.3,1,567,1.7,0.8,0,1.3,False,,,0,120.0,1,-1,9500000000000000567,6035f647d85f33603dbf7547b5f60a8e947b143daa405f2a04ae31bba6103406,1.0,not_detected,2765.320685334038,278,480,high,confirmed,106.3045230186412,True,True,not_detected,27.858685760597105,unmatched,unmatched,False,confirmed,106.3045230186412,direct,direct,True,direct,direct,True,True,True,True,True,False,
9200084456651220300,TIC 8445665,arm_B,True,1.0,8445665,135.37651593494405,15.05,0.007386805555555556,True,B,dropout,1,567,1.7,0.8,0,1.0,True,812.76,,0,120.0,1,-1,9500000000000000567,3f1817fe0b9a99579b1063625623af8d413a82bb59815c4874999828da92c5a4,1.0,not_detected,2765.320685334038,278,480,high,candidate,130.38476816097133,True,True,not_detected,41.42380325273662,unmatched,unmatched,False,candidate,130.38476816097133,unmatched,unmatched,True,unmatched,unmatched,False,True,False,False,True,False,
9200337175650220000,TIC 33717565,arm_B,True,1.0,33717565,236.7642222952976,9.3,0.004223611111111111,True,B,nominal,0,121,1.7,0.8,0,1.0,False,,,0,20.0,3,-1,9500000000000000121,69b9a46a1d71f37992dbcf544635b725090f7ffb963c3aca80dd4399da664aee,1.0,confirmed,2771.858495029155,926,1364,low,confirmed,3.2318749373624764,True,True,confirmed,3.2318749373624764,unmatched,unmatched,False,confirmed,236.76425223640314,direct,direct,True,unmatched,unmatched,True,True,False,False,True,False,
9300337175650220000,TIC 33717565,arm_A,True,1.0,33717565,236.7642222952976,9.3,0.004223611111111111,True,A,nominal,0,121,1.7,0.8,0,1.0,False,,,0,20.0,3,-1,,edaa72638b1b2c4fcc1da435e60c8ad9b0f740f04f2945e427c4c87a4be6af3a,1.0,confirmed,2771.858495029155,926,1364,high,confirmed,236.76425223640314,True,True,not_detected,28.602830967807424,unmatched,unmatched,False,confirmed,236.76425223640314,direct,direct,True,direct,direct,True,True,False,False,True,False,
