campaign_id,period_s,amp_ppt,tess_sinc
9200556504071220001,126.84,1.8,0.05672772997682977
9200556504071220001,127.03,0.48,0.05828864412700203
9200556504071220001,153.26,0.41,0.2561880264659368
9202205551220220000,137.54,2.29,0.14228773711796022
9302205551220220000,137.54,2.29,0.14228773711796022
9202205551221220000,137.54,2.29,0.14228773711796022
9302205551221220000,137.54,2.29,0.14228773711796022
9202205551222220000,137.54,2.29,0.14228773711796022
9302205551222220000,137.54,2.29,0.14228773711796022
9202205551221110000,137.54,2.29,0.14228773711796022
9202205551221120000,137.54,2.29,0.14228773711796022
9202205551221130000,137.54,2.29,0.14228773711796022
9202205551221210000,137.54,2.29,0.14228773711796022
9202205551221230000,137.54,2.29,0.14228773711796022
9202205551221310000,137.54,2.29,0.14228773711796022
9202205551221320000,137.54,2.29,0.14228773711796022
9202205551221330000,137.54,2.29,0.14228773711796022
9202205551221221000,137.54,2.29,0.14228773711796022
9202205551221222000,137.54,2.29,0.14228773711796022
9202205551221220100,137.54,2.29,0.14228773711796022
9202205551221220200,137.54,2.29,0.14228773711796022
9202205551221220300,137.54,2.29,0.14228773711796022
