campaign_id,period_s,frequency_per_day,amp_tess_ppt,tess_sinc,ztf_sinc,amp_g_mag,amp_r_mag,phase_rad
9200011167460220000,303.01,285.1391043199894,8.61,0.9928490979172023,0.9839536577802394,0.016005847145691067,0.012804677716552854,5.883944056872502
9300011167460220000,303.01,285.1391043199894,8.61,0.9928490979172023,0.9839536577802394,0.016005847145691067,0.012804677716552854,5.883944056872502
9200011167461220000,303.01,285.1391043199894,8.61,0.9928490979172023,0.9839536577802394,0.016005847145691067,0.012804677716552854,5.883944056872502
9300011167461220000,303.01,285.1391043199894,8.61,0.9928490979172023,0.9839536577802394,0.016005847145691067,0.012804677716552854,5.883944056872502
9200011167462220000,303.01,285.1391043199894,8.61,0.9928490979172023,0.9839536577802394,0.016005847145691067,0.012804677716552854,5.883944056872502
9300011167462220000,303.01,285.1391043199894,8.61,0.9928490979172023,0.9839536577802394,0.016005847145691067,0.012804677716552854,5.883944056872502
9200011167461110000,303.01,285.1391043199894,8.61,0.9928490979172023,0.9839536577802394,0.013181285884686759,0.00922690011928073,5.883944056872502
9200011167461120000,303.01,285.1391043199894,8.61,0.9928490979172023,0.9839536577802394,0.013181285884686759,0.010545028707749407,5.883944056872502
9200011167461130000,303.01,285.1391043199894,8.61,0.9928490979172023,0.9839536577802394,0.013181285884686759,0.011863157296218084,5.883944056872502
9200011167461210000,303.01,285.1391043199894,8.61,0.9928490979172023,0.9839536577802394,0.016005847145691067,0.011204093001983747,5.883944056872502
9200011167461230000,303.01,285.1391043199894,8.61,0.9928490979172023,0.9839536577802394,0.016005847145691067,0.014405262431121961,5.883944056872502
9200011167461310000,303.01,285.1391043199894,8.61,0.9928490979172023,0.9839536577802394,0.01977192882703014,0.013840350178921096,5.883944056872502
9200011167461320000,303.01,285.1391043199894,8.61,0.9928490979172023,0.9839536577802394,0.01977192882703014,0.015817543061624112,5.883944056872502
9200011167461330000,303.01,285.1391043199894,8.61,0.9928490979172023,0.9839536577802394,0.01977192882703014,0.017794735944327126,5.883944056872502
9200011167461221000,303.01,285.1391043199894,8.61,0.9928490979172023,0.9839536577802394,0.016005847145691067,0.012804677716552854,5.524502277474227
9200011167461222000,303.01,285.1391043199894,8.61,0.9928490979172023,0.9839536577802394,0.016005847145691067,0.012804677716552854,1.3434173071165723
9200011167461220100,303.01,285.1391043199894,8.61,0.9928490979172023,0.9839536577802394,0.011204093001983743,0.008963274401586995,5.883944056872502
9200011167461220200,303.01,285.1391043199894,8.61,0.9928490979172023,0.9839536577802394,0.020807601289398382,0.016646081031518708,5.883944056872502
9200056241840220000,431.31,200.31995548445434,4.66,0.9964667969564159,0.9920608311817002,0.0086314119309047,0.006905129544723761,2.444589457469782
9200056241840220000,445.92,193.756727664155,4.77,0.9966942998960276,0.9925713991144789,0.008833141015172257,0.007066512812137805,5.350478779134751
9200056241840220000,503.99,171.4319728566043,6.28,0.9974116253126565,0.9941818117989024,0.011621012735205103,0.009296810188164082,2.9459517377677713
9300056241840220000,431.31,200.31995548445434,4.66,0.9964667969564159,0.9920608311817002,0.0086314119309047,0.006905129544723761,2.444589457469782
9300056241840220000,445.92,193.756727664155,4.77,0.9966942998960276,0.9925713991144789,0.008833141015172257,0.007066512812137805,5.350478779134751
9300056241840220000,503.99,171.4319728566043,6.28,0.9974116253126565,0.9941818117989024,0.011621012735205103,0.009296810188164082,2.9459517377677713
9200056241841220000,431.31,200.31995548445434,4.66,0.9964667969564159,0.9920608311817002,0.0086314119309047,0.006905129544723761,2.444589457469782
9200056241841220000,445.92,193.756727664155,4.77,0.9966942998960276,0.9925713991144789,0.008833141015172257,0.007066512812137805,5.350478779134751
9200056241841220000,503.99,171.4319728566043,6.28,0.9974116253126565,0.9941818117989024,0.011621012735205103,0.009296810188164082,2.9459517377677713
9300056241841220000,431.31,200.31995548445434,4.66,0.9964667969564159,0.9920608311817002,0.0086314119309047,0.006905129544723761,2.444589457469782
9300056241841220000,445.92,193.756727664155,4.77,0.9966942998960276,0.9925713991144789,0.008833141015172257,0.007066512812137805,5.350478779134751
9300056241841220000,503.99,171.4319728566043,6.28,0.9974116253126565,0.9941818117989024,0.011621012735205103,0.009296810188164082,2.9459517377677713
9200056241842220000,431.31,200.31995548445434,4.66,0.9964667969564159,0.9920608311817002,0.0086314119309047,0.006905129544723761,2.444589457469782
9200056241842220000,445.92,193.756727664155,4.77,0.9966942998960276,0.9925713991144789,0.008833141015172257,0.007066512812137805,5.350478779134751
9200056241842220000,503.99,171.4319728566043,6.28,0.9974116253126565,0.9941818117989024,0.011621012735205103,0.009296810188164082,2.9459517377677713
9300056241842220000,431.31,200.31995548445434,4.66,0.9964667969564159,0.9920608311817002,0.0086314119309047,0.006905129544723761,2.444589457469782
9300056241842220000,445.92,193.756727664155,4.77,0.9966942998960276,0.9925713991144789,0.008833141015172257,0.007066512812137805,5.350478779134751
9300056241842220000,503.99,171.4319728566043,6.28,0.9974116253126565,0.9941818117989024,0.011621012735205103,0.009296810188164082,2.9459517377677713
9200056241841110000,431.31,200.31995548445434,4.66,0.9964667969564159,0.9920608311817002,0.007108221590156812,0.004975755113109768,2.444589457469782
9200056241841110000,445.92,193.756727664155,4.77,0.9966942998960276,0.9925713991144789,0.007274351424259506,0.005092045996981654,5.350478779134751
9200056241841110000,503.99,171.4319728566043,6.28,0.9974116253126565,0.9941818117989024,0.009570245781933613,0.006699172047353529,2.9459517377677713
9200056241841120000,431.31,200.31995548445434,4.66,0.9964667969564159,0.9920608311817002,0.007108221590156812,0.00568657727212545,2.444589457469782
9200056241841120000,445.92,193.756727664155,4.77,0.9966942998960276,0.9925713991144789,0.007274351424259506,0.005819481139407605,5.350478779134751
9200056241841120000,503.99,171.4319728566043,6.28,0.9974116253126565,0.9941818117989024,0.009570245781933613,0.007656196625546891,2.9459517377677713
9200056241841130000,431.31,200.31995548445434,4.66,0.9964667969564159,0.9920608311817002,0.007108221590156812,0.006397399431141131,2.444589457469782
9200056241841130000,445.92,193.756727664155,4.77,0.9966942998960276,0.9925713991144789,0.007274351424259506,0.0065469162818335555,5.350478779134751
9200056241841130000,503.99,171.4319728566043,6.28,0.9974116253126565,0.9941818117989024,0.009570245781933613,0.008613221203740253,2.9459517377677713
9200056241841210000,431.31,200.31995548445434,4.66,0.9964667969564159,0.9920608311817002,0.0086314119309047,0.00604198835163329,2.444589457469782
9200056241841210000,445.92,193.756727664155,4.77,0.9966942998960276,0.9925713991144789,0.008833141015172257,0.00618319871062058,5.350478779134751
9200056241841210000,503.99,171.4319728566043,6.28,0.9974116253126565,0.9941818117989024,0.011621012735205103,0.008134708914643572,2.9459517377677713
