tic,frequency_per_day,period_s,amp_ppt,snr
375199799,282.7838140180048,305.5337530545469,15.57923595068023,8.402551062272794
375199799,305.6083082706755,282.71482699179774,14.132791011220805,7.62521270889112
375199799,612.8554518719485,140.97940996705472,9.183311579326029,4.955534735289916
375199799,263.3185699275216,328.1196613811992,8.919859819225925,4.814072614790347
375199799,136.53218572397685,632.8178190501716,8.762647467739061,4.729891252538804
375199799,775.6824487744683,111.38578697572288,8.329245830904991,4.496522891694047
375199799,635.7535735254343,135.90171349079085,8.179713471104748,4.416340743108566
375199799,146.95966636441068,587.9164136488782,8.052555180629504,4.348204053961612
375199799,1119.9089544351086,77.14912864821308,7.935192198284628,4.2853262938993275
375199799,711.2860833365907,121.47011170906643,7.914016571276274,4.274382501464447
775564285,101.29098196154423,852.9880777817152,12.02672428715341,6.580207846908815
775564285,96.4616294513875,895.6929350187048,9.913816446944727,5.42502273681347
775564285,137.62112188610735,627.8106065106998,9.661312872727999,5.287639531104943
775564285,101.33288523712042,852.6353493026745,8.824613917020926,4.8303172106900725
775564285,985.3034351547919,87.68872300381912,8.741380842284958,4.785344702473479
775564285,634.7196800465367,136.12308349043988,8.401852175103127,4.599995665623842
775564285,432.7249401314773,199.66494183059703,8.271446605159014,4.529096282724009
775564285,957.2701437943159,90.25665384019786,8.157947531762618,4.467426241390208
775564285,96.71304910484467,893.3644508129973,7.986268974947746,4.3738602306557235
775564285,536.49840209593,161.04428207514218,7.870652825406152,4.310969373748658
88046487,136.6750515623388,632.1563373297294,11.016457472514265,9.731386327582683
88046487,97.53688165871006,885.8187644579517,8.215442419550849,7.259071958850976
88046487,104.11809018657627,829.8269767066797,6.7292534994913416,5.946971132950009
88046487,1151.4337505641884,75.0368833271259,5.749837240104918,5.082086354997528
88046487,97.61901842660853,885.0734354080485,5.654527449557801,4.998485921507366
88046487,739.6924001850637,116.8053098536413,5.570663529061082,4.924964788976511
88046487,432.5624908206486,199.73992621524746,5.539776819558298,4.898261089668284
88046487,847.1786280762204,101.98557557595352,5.4246599578272425,4.797041282566022
88046487,104.1591585705255,829.4997884559436,5.319742914778949,4.704797147932726
88046487,102.85523738013704,840.015561683835,5.187750396336619,4.58855820110545
343296348,299.7177223317567,288.2712417798374,10.765964653762799,13.691954586675795
343296348,300.7715729684089,287.2611901028123,6.9747666199529395,8.875885472580007
343296348,300.24322239464743,287.7666956506136,5.957217743103574,7.584418792870169
343296348,199.25414952355922,433.61706748187106,4.233484228479741,5.39108580023139
343296348,665.565198629932,129.81447975022533,4.194591620477134,5.34276060375146
343296348,701.175121845063,123.22171353234577,4.084368696128882,5.203477128257977
343296348,1006.1653647910578,85.87057657062365,4.068379638373539,5.1842048089774675
343296348,387.72657475980293,222.83744686194106,4.036859500307255,5.1451129735290495
343296348,51.30508985818542,1684.0434397215154,3.9749003639334934,5.067168765394765
343296348,436.55247243470353,197.9143526965664,3.9254027826812252,5.0050576001257046
