tic,frequency_per_day,period_s,amp_ppt,snr
1860439362,870.2029293329656,99.28718588229526,75.39921748109641,13.111965172289612
1860439362,719.852091780536,120.02465643503483,72.88192619936129,12.690980929487626
1860439362,532.9083243757816,162.12919942882112,62.7168554173846,10.931585162805314
1860439362,719.8437823002732,120.0260419335808,60.131336145694554,10.490338229436007
1860439362,720.1119314741585,119.98134765400773,51.886928821801604,9.058326708935558
1860439362,720.3630125264228,119.93952840107939,51.22492954843892,8.948709187570651
1860439362,719.784268455148,120.03596603387541,47.013331945189556,8.217493435334006
1860439362,720.3603175598511,119.93997711127594,38.655525615986036,6.759184854981318
1860439362,150.19926565487447,575.2358350308355,38.82485605829193,6.791350797111727
1860439362,720.2388194835764,119.96020995084697,36.763330410962745,6.4329265993054925
1944049427,720.6627070718523,119.88965039006195,119.31764969447833,21.724395889483976
1944049427,718.6618395753524,120.22344201697506,101.3659224953831,18.501952371391514
1944049427,720.6640237207862,119.88943135237564,87.26005656521525,15.956810598208333
1944049427,577.477574396793,149.61619953857004,73.36082571891781,13.432831929382925
1944049427,721.3431951291726,119.77655100014931,58.78267491706515,10.77263493272037
1944049427,719.319505717819,120.11352300780476,50.7455513498367,9.305632109123648
1944049427,862.4938857599184,100.1746231787782,44.20528210151425,8.110190292825612
1944049427,720.635496327219,119.89417734811157,43.21316418728736,7.931819058234769
1944049427,719.7096726852216,120.04840740522971,35.727302076057654,6.559855742875736
1944049427,720.2257990672974,119.96237862055096,36.885881743282134,6.774819832915002
313109945,289.0654857703525,298.8942099737231,75.75086306423644,43.96581244249908
313109945,289.21148466816385,298.74332307077583,58.35177411945395,33.97950325633998
313109945,323.9700456094047,266.691322765588,47.71996264171961,27.85018449797199
313109945,289.35771384814836,298.59235079988827,33.438716157886155,19.536786431426766
313109945,191.12601694233848,452.0577647263289,23.839927399538205,13.936398289377092
313109945,129.2227145525012,668.6131018002799,23.144590814216084,13.537035296697658
313109945,190.97978776235394,452.40389578562105,23.016950316795427,13.469391422177184
313109945,163.19647384746273,529.4232035966462,22.356958777533222,13.08960321162195
313109945,129.21995116642273,668.6274001816113,20.844173824424395,12.20911741408773
313109945,129.2291624533509,668.5797412885705,15.980129171058868,9.362442473392344
116373308,238.8044593004395,361.8022890070922,16.46552818332367,15.18854936605239
116373308,720.0810940415237,119.98648584851989,13.994697615041648,12.933483390723133
116373308,720.121464961138,119.97975925445112,11.649049233302659,10.778877357417723
116373308,719.7612425609542,120.03980610651325,11.598950913833587,10.74569942626321
116373308,719.8673178296056,120.0221177709461,9.648715427244099,8.946317919516497
116373308,504.09098424309906,171.39762999278994,8.492195522044257,7.879198162336607
116373308,719.8086580705684,120.03189879876318,7.845845229894594,7.28365453700551
116373308,720.2401392080584,119.95999014301162,7.678972315323365,7.132575827654187
116373308,720.0831261347928,119.986147243543,7.499065434284073,6.9690559464422535
116373308,720.6090318728575,119.89858047636045,7.42675613455517,6.905342894766639
661119673,137.93765599179207,626.369930522389,38.473166754177356,15.155375921988833
661119673,720.2060462391603,119.96566878488684,19.54684700214685,7.7024143269966645
661119673,720.201308164234,119.96645801745396,18.57743954486938,7.322576312555057
661119673,720.1879061808711,119.9686904743734,17.5900184748851,6.935200897134259
661119673,857.9566400649538,100.70438990187064,17.200058466596136,6.783163028948704
661119673,720.25802968978,119.95701045806192,16.34551408560444,6.447624443886756
661119673,719.8636864823447,120.02272322166793,14.764225613204076,5.824914366032802
661119673,719.8666647008698,120.02222666596496,16.3379663836394,6.447163276755123
661119673,570.6921661071257,151.39510428075806,14.081563381796114,5.557699938999018
661119673,645.2353513071835,133.90462848162625,14.071861068388207,5.554810250927065
1108505075,720.0758096830594,119.98736638303245,95.18654352896577,33.726986052255505
1108505075,720.0338953581031,119.99435103958496,72.52814726865653,25.771268258140854
1108505075,720.122893441427,119.9795212551836,65.13332453011141,23.198623900730507
1108505075,719.8712677772728,120.02145920724821,63.98420668025326,22.839613993287795
1108505075,720.2213921050742,119.96311265827407,59.03880231783703,21.115005744045284
1108505075,720.2116120959178,119.96474167996787,58.794375073525515,21.067775866843178
1108505075,720.0306819265231,119.99488656348237,55.79443068665826,20.030354053724434
1108505075,720.3048016117372,119.9492212278377,55.61237578648506,19.999843633069986
1108505075,719.4877517039229,120.08543549960882,55.54422885825768,20.010335700785635
1108505075,719.9296684033785,120.011723077913,53.53723587262036,19.31632728936186
800153845,716.2436166571161,120.62934732074807,21.152106738310202,10.878971606495506
800153845,717.1840401012613,120.47116941949926,20.341508519818554,10.467202296485794
800153845,723.1530490083999,119.47678312146121,19.94954590788906,10.270371228582368
800153845,722.2455580271908,119.62690395216976,19.738588901548205,10.166472284540317
800153845,720.1207420767424,119.97987969466439,19.039088297166316,9.810413244155988
800153845,716.2856223496365,120.62227316050476,18.785605869138486,9.683873017481925
800153845,723.0957532438022,119.4862500746412,18.740757050946446,9.664805228886868
800153845,716.8034685270271,120.53513102767901,18.818450501626646,9.708975735265671
800153845,720.3756326189558,119.93742720848174,18.67718451546666,9.64010433447831
800153845,722.7855832102321,119.5375253837477,18.38757392906366,9.49446306812482
1173423962,719.7709993032279,120.03817892585177,32.245226623844715,7.81469078775417
1173423962,859.7321933674029,100.49641116914337,28.036068402825997,6.798046764185245
