tic,period_s,published_amp_ppt,recovered_amp_ppt,amp_ratio,snr,spoc_snr4_limit_ppt,paper_fap_ppt,marginal_vs_paper_fap,marginal_vs_spoc_limit
375199799,305.53,12.98,15.933235098715745,1.2275219644619217,8.58965844449296,7.419729295024965,9.17,True,False
375199799,328.12,9.56,8.876079126392542,0.9284601596644918,4.7851228924721445,7.419729295024965,9.17,True,True
775564285,627.84,10.19,9.724414502424448,0.954309568442046,5.31930693689318,7.312542493067065,8.25,True,True
775564285,852.96,12.34,12.240919243978826,0.9919707653143295,6.695848540003314,7.312542493067065,8.25,True,False
775564285,895.81,9.04,9.264122700207562,1.024792334093757,5.0675248500727434,7.312542493067065,8.25,True,True
88046487,632.15,11.28,10.904716566412585,0.9667301920578534,9.628002674621847,4.5304169244389545,5.62,False,False
88046487,829.85,6.2,6.678545964965938,1.0771848330590221,5.896628126156849,4.5304169244389545,5.62,True,True
88046487,885.76,8.64,8.465475202397375,0.9798003706478443,7.4743453802064685,4.5304169244389545,5.62,False,False
343296348,287.26,7.11,6.2388036984439,0.8774688746053305,7.9226952835971325,3.1498390257974447,4.41,False,False
343296348,288.27,10.81,10.222449930782032,0.9456475421630002,12.98155219623519,3.1498390257974447,4.41,False,False
1989258883,909.04,10.78,10.783532153181675,1.0003276579945894,6.939485235334064,6.21575335200641,7.29,True,False
842451090,311.8,10.51,9.902238462215054,0.9421730220946769,6.415905795967022,6.1735560197529775,7.42,True,False
7675859,254.49,4.14,3.793877819746007,0.9163956086343013,4.787346050208932,3.1699215222433588,4.09,True,True
7675859,353.25,10.5,10.236843326047886,0.9749374596236082,12.917472251872349,3.1699215222433588,4.09,False,False
7675859,356.1,5.26,4.902905636008693,0.9321113376442384,6.186784879821125,3.1699215222433588,4.09,True,False
7675859,575.41,5.87,5.7835847843661625,0.9852784981884434,7.29807945563663,3.1699215222433588,4.09,True,False
7675859,743.46,4.3,3.696668292233618,0.8596903005194461,4.6646811490998425,3.1699215222433588,4.09,True,True
7675859,798.65,4.72,4.388717511230285,0.9298130320403147,5.5379509939720934,3.1699215222433588,4.09,True,True
724128806,290.18,10.34,7.946341657354651,0.7685049958756917,5.236269397132853,6.070231345778896,9.15,True,False
149863849,261.18,1.69,1.9006933575595901,1.1246706257749055,5.932781965739221,1.281485393217389,1.49,True,True
