amp_bin,n,k,p,lo,hi
-1,154,89,0.577922077922078,0.49895305166842124,0.6530982546190078
0,84,31,0.36904761904761907,0.2737011850902025,0.47584760092316086
1,70,20,0.2857142857142857,0.19322220378719757,0.40050196581720254
2,97,47,0.4845360824742268,0.3875815952518113,0.5826687359603313
3,106,66,0.6226415094339622,0.5276023949623552,0.709102400104529
4,51,39,0.7647058823529411,0.632377748398347,0.8599505116553716
5,23,14,0.6086956521739131,0.4078552239138171,0.7784237720752205
6,18,14,0.7777777777777778,0.5478541568378739,0.9099907189139831
7,7,7,1.0,0.6456695649333126,1.0
