amp_bin,n_windows,k_windows,n_targets,p,lo,hi,interval
1,12,0,4,,,,
2,39,4,13,0.10256410256410256,0.02564102564102564,0.17948717948717946,target_cluster_bootstrap
3,96,13,32,0.13541666666666666,0.07291666666666667,0.19791666666666666,target_cluster_bootstrap
4,135,35,45,0.25925925925925924,0.2,0.3185185185185186,target_cluster_bootstrap
5,27,15,9,0.5555555555555556,0.3333333333333333,0.7777777777777777,target_cluster_bootstrap
