campaign_id,arm,scenario,tic,template_source_id,template_status,template_k,pool_index,template_exp_per_night,ratio_g,ratio_rg,phase_draw,amp_scale,dominant_dropped,dropped_period_s,crowdsap,cadence_code,cadence_s,n_strata_scheduled,match,control_campaign_id,null_serial,n_modes_injected,n_modes_rejected,shard_sha256
9300056241842220000,A,nominal,5624184,1420761029600606592,confirmed,2,73,2.0,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,,-1,3,0,d9dda67b4eeead7a3ca6553360573cc32130b4d0ff9e6557ffe698f1d66858b5
9200056241841110000,B,ladder_g1r1,5624184,4311451556624073472,confirmed,1,660,1.0,1.4,0.7,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000660,-1,3,0,4aec549f17bbea88b73b533a908dbae76de00238958d750114f6dd07adb512ff
9200056241841120000,B,ladder_g1r2,5624184,4311451556624073472,confirmed,1,660,1.0,1.4,0.8,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000660,-1,3,0,6a17a0376d19863f8c1789fae390f08aae60c62aef52300921c3d0f7a1a60d7b
9200056241841130000,B,ladder_g1r3,5624184,4311451556624073472,confirmed,1,660,1.0,1.4,0.9,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000660,-1,3,0,0391263ae75859d8b36ff9d6448f3bd13c5504e87ba02c55abc7af0f44fe9abd
9200056241841210000,B,ladder_g2r1,5624184,4311451556624073472,confirmed,1,660,1.0,1.7,0.7,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000660,-1,3,0,60171798428cbb57d258bccd572ee1ca24bed350cf7e78b5b4b96b9c1307151b
9200056241841230000,B,ladder_g2r3,5624184,4311451556624073472,confirmed,1,660,1.0,1.7,0.9,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000660,-1,3,0,da0e22a586329390af8ca431839351e33c243e1eb2408f375eeadd33a482bffe
9200056241841310000,B,ladder_g3r1,5624184,4311451556624073472,confirmed,1,660,1.0,2.1,0.7,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000660,-1,3,0,4b9a462a88c49a3fda4f23a0bb66405d50652309d8d7bf850d14c0b3f4dfedf6
9200056241841320000,B,ladder_g3r2,5624184,4311451556624073472,confirmed,1,660,1.0,2.1,0.8,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000660,-1,3,0,7d0179509a1c6ee758cf53008072d2fd66120138dcc1840640cc9c870aface0f
9200056241841330000,B,ladder_g3r3,5624184,4311451556624073472,confirmed,1,660,1.0,2.1,0.9,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000660,-1,3,0,e034a0a34c0f6e1f5f347ca10e22e32a79d58e74e7733a0f9b565490ba0471cc
9200056241841221000,B,phase_1,5624184,4311451556624073472,confirmed,1,660,1.0,1.7,0.8,1,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000660,-1,3,0,a08ee13a1f67975680c248d50f8ab00ec0d3aa20b9bd3bb432e44ce067792918
9200056241841222000,B,phase_2,5624184,4311451556624073472,confirmed,1,660,1.0,1.7,0.8,2,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000660,-1,3,0,37e7a998999693e72661d1e0c49990cfaa7f3b61965cfe156274e2f88eb70c86
9200056241841220100,B,ampscale_0.7,5624184,4311451556624073472,confirmed,1,660,1.0,1.7,0.8,0,0.7,False,,,0,20.0,1,tol_0.25,9500000000000000660,-1,3,0,8470c8a4ef2b938ba4ceb43b59d338459de281770a15d23d28942d594ce526da
