amp_bin,n_windows,k_windows,n_targets,p,lo,hi,interval
1,12,7,4,,,,
2,39,17,13,0.4358974358974358,0.3076923076923077,0.5641025641025641,target_cluster_bootstrap
3,96,49,32,0.5104166666666667,0.44791666666666663,0.5729166666666666,target_cluster_bootstrap
4,135,79,45,0.5851851851851853,0.5185185185185184,0.6518518518518519,target_cluster_bootstrap
5,27,20,9,0.7407407407407408,0.5925925925925926,0.8888888888888888,target_cluster_bootstrap
