exp_per_night_bin,amp_bin,n,k,p,lo,hi
1,1,2,0,,,
1,2,3,1,,,
1,3,8,4,0.5,0.21521606221387757,0.7847839377861224
1,4,12,7,0.5833333333333334,0.31951131254954973,0.8067396863412435
1,5,3,2,,,
3,1,1,1,,,
3,3,1,1,,,
