amp_bin,n,k,p,lo,hi
1,3,1,,,
2,3,1,,,
3,9,5,0.5555555555555556,0.26665129349549305,0.8112214789023355
4,12,7,0.5833333333333334,0.31951131254954973,0.8067396863412435
5,3,2,,,
