period_bin,amp_bin,n,k,p,lo,hi
2,1,3,0,,,
2,3,3,1,,,
3,3,3,0,,,
3,4,12,4,0.3333333333333333,0.13812009109121315,0.6093779111272004
3,5,3,2,,,
4,2,3,0,,,
4,3,3,0,,,
