period_bin,amp_bin,n,k,p,lo,hi
2,1,3,1,,,
2,3,3,2,,,
3,3,3,1,,,
3,4,12,7,0.5833333333333334,0.31951131254954973,0.8067396863412435
3,5,3,2,,,
4,2,3,1,,,
4,3,3,2,,,
