exp_per_night_bin,amp_bin,n,k,p,lo,hi
1,1,2,0,,,
1,2,3,0,,,
1,3,8,1,0.125,0.02241749145005667,0.4708881822128535
1,4,12,4,0.3333333333333333,0.13812009109121315,0.6093779111272004
1,5,3,2,,,
3,1,1,0,,,
3,3,1,0,,,
