source_id,blind_status,best_pass,best_frequency_per_day,best_period_days,best_band_fap,basis,nearest_daily_systematic,distance_to_daily_systematic_per_day,wide_daily_alias_0p01
4557852490326063232,confirmed,low,2.0000125544474794,0.4999968614078318,0.0001705533094603,multiband+zr,solar_2,1.2554447479384834e-05,True
2260805780286092032,candidate,low,2.004852911296153,0.4987897088936526,0.0003270601376747,zg,sidereal_2,0.0006229074038470728,True
1797734879016276096,confirmed,low,1.00091063881234,0.9990901896962344,1.404208856200405e-125,multiband+zr,solar_1,0.0009106388123401032,True
4556431199748103936,confirmed,low,1.003669123052242,0.9963442901968692,6.814113559352503e-09,multiband+zg,sidereal_1,0.0009312137022421396,True
3986794909951986432,confirmed,low,1.0009954505879617,0.9990055393484788,2.7531184993912823e-68,zg+zr,solar_1,0.0009954505879616882,True
3681313024562519552,confirmed,low,1.0010833156404018,0.9989178566624012,6.661361343590869e-05,multiband+zr,solar_1,0.0010833156404017608,True
935056333580267392,confirmed,low,1.0015695548916224,0.9984329047503924,1.3528709591693271e-24,zg+zr,sidereal_1,0.0011683544583775962,True
2146494091832635520,confirmed,low,3.0013140003903835,0.3331873972099984,0.0,zg+zr,solar_3,0.0013140003903835407,True
2144164707730692992,candidate,low,2.0016649395582786,0.4995841113251836,7.564677185261886e-09,zg,solar_2,0.001664939558278622,True
388531679425970176,candidate,low,2.0038065082202383,0.4990501806924414,3.99007537752737e-05,zg,sidereal_2,0.0016693104797615987,True
955946028012712320,candidate,low,2.0019011586622883,0.4995251617058959,1.705622392016665e-25,zr,solar_2,0.0019011586622883492,True
1869749145436680576,confirmed,low,0.997904857483878,1.0020995413544782,9.467352778851732e-54,zg+zr,solar_1,0.0020951425161219728,True
2128767627936545280,confirmed,low,0.9974711963304698,1.002535214729842,0.0001332007547349,multiband+zg,solar_1,0.002528803669530233,True
1261751715280478848,confirmed,low,0.9973494155030246,1.002657628766583,5.888379476807461e-12,zg+zr,solar_1,0.0026505844969754166,True
820542992117501952,confirmed,low,0.9973146200336384,1.002692610649056,0.0002690070966539,multiband+zg,solar_1,0.002685379966361645,True
4215887984490400512,confirmed,low,1.0054635670976146,0.9945661212634628,2.0336683634717364e-14,multiband+zr,sidereal_1,0.002725657747614685,True
718385060383750784,confirmed,low,4.008217769835277,0.2494874424053801,5.706196109443844e-05,multiband+zg,sidereal_4,0.002733867564723269,True
4366857837287969792,confirmed,low,1.005475336964553,0.9945544790973364,4.774979734853494e-07,multiband+zg,sidereal_1,0.0027374276145530896,True
419064258342268160,confirmed,low,0.9972349487988934,1.0027727179080888,8.55215384128905e-10,multiband+zr,solar_1,0.002765051201106594,True
73126873390979072,confirmed,low,0.9972284602122232,1.0027792425691369,2.979386851864081e-06,multiband+zg,solar_1,0.002771539787776778,True
4429106481934491136,candidate,low,1.0055445147299162,0.994486057406016,8.050853023168925e-06,zr,sidereal_1,0.0028066053799162827,True
1233399644022323712,confirmed,low,1.997037230563533,0.5007417912373197,1.5679138293510992e-07,multiband+zr,solar_2,0.0029627694364668944,True
2235756324128323712,confirmed,high,119.32882681154078,0.0083802047394576,6.39103351199066e-05,multiband+zr,sidereal_119,0.0030155988907836218,True
4517521407404432512,confirmed,low,47.1323219503514,0.0212168626246206,1.6086193556198297e-08,multiband+zg,sidereal_47,0.0036402109014019857,True
300940112094402176,candidate,low,0.9945845971695992,1.0054448890982344,0.0001253558266202,zr,solar_1,0.005415402830400762,True
279512833789658752,candidate,low,1.9945141265857285,0.5013752405513573,9.518487936991395e-06,zr,solar_2,0.005485873414271536,True
3181589319065856384,confirmed,low,0.9944814364958462,1.0055491870452595,2.2345188352181355e-10,multiband+zr,solar_1,0.005518563504153806,True
1420761029600606592,confirmed,high,52.00557384359707,0.0192287081190071,1.5912981881129837e-07,multiband+zg,solar_52,0.005573843597069583,True
2944687547315654784,confirmed,low,3.99321499638348,0.2504247832650298,3.214230060328899e-89,zg+zr,solar_4,0.006785003616519791,True
6770227729752288256,confirmed,low,12.0403645639601,0.0830539635812404,1.4559356533620768e-24,multiband+zg,sidereal_12,0.007509651760100766,True
