source_id,pass,band,frequency_per_day,power,bootstrap_fap,bootstrap_exceedances,bootstrap_resamples,bootstrap_resolution,bootstrap_grid_samples_per_peak,trials_context
1004340654352214656,low,zr,3.822862251204872,0.8403145000052045,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.00072692341..48 d^-1
1273088783971336576,low,zr,18.38452281245662,0.6786277108422554,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.00072470885..48 d^-1
1622933901956297856,low,zr,3.4666888855947517,0.7952161691124712,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.00072417307..48 d^-1
4303727384333935360,low,zr,5.442875355753732,0.9379044684815102,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.0007326852..48 d^-1
1863757043284422784,low,zg,1.2345956969290846,0.9750364456986006,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.00072419839..48 d^-1
1898174235426878208,low,zg,4.024000293013391,0.8787927674261732,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.0007299944..48 d^-1
4318508939464901760,low,zr,15.41923962856178,0.465002939254466,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.00072684447..48 d^-1
2237288944557097600,low,zr,3.795252698817809,0.8714911795606309,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.00073134996..48 d^-1
2144580907240525568,low,zr,4.171693200981411,0.8491480985468097,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.00072184274..48 d^-1
2146494091832635520,low,zg,3.0013140003903835,0.6872993977971715,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.00072310671..48 d^-1
357457350520905216,low,zr,11.663568076799915,0.9019670420048035,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.00074270698..48 d^-1
2210180554096762624,low,zr,3.2886437020272234,0.8597588854199127,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.00072737261..48 d^-1
2120335400240968448,low,zg,1.0966938312651675,0.805549267821497,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.0007231071..48 d^-1
2121629147470776704,low,zg,6.427028406592847,0.8340310448734859,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.00072339705..48 d^-1
2126940892444693760,low,zr,3.857968997492923,0.8640269264929908,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.00073132134..48 d^-1
2062408081119518592,low,zr,1.4174021770207417,0.8470566233564257,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.00073214627..48 d^-1
3345661467822106624,low,zr,4.607517608929604,0.9595989797529533,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.00072666254..48 d^-1
757803896562843392,low,zr,10.598600687108286,0.842150581326477,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.00072667466..48 d^-1
1081519288218904960,low,zr,8.44704665908246,0.696907166810572,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.00072694394..48 d^-1
1085903148454238208,low,zr,4.5165225317174365,0.8589149352378928,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.00073226129..48 d^-1
1190316479183748992,low,zr,8.769980722868663,0.7999453211671828,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.00073401245..48 d^-1
522432163970498048,low,zr,2.870119672731566,0.8451500482102672,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.00074212199..48 d^-1
318552918277214080,low,zg,7.9142482267901375,0.9299501441693863,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.00074242479..48 d^-1
3341182435406679424,low,zr,6.314359691624135,0.9504487945665396,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.00072666258..48 d^-1
506086549232654720,low,zr,3.3540089456728603,0.697574029822899,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.00074271293..48 d^-1
305256043125603968,low,zg,4.131593712304229,0.902610535532926,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.00074242475..48 d^-1
3150708057532318208,low,zr,3.6136882285812,0.8350219937902982,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.00073224036..48 d^-1
3101596034218137728,low,zr,7.690202401440897,0.8609680958293051,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.00073252004..48 d^-1
2833849800205759360,low,zr,6.146409648360986,0.801169786784501,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.00073670132..48 d^-1
2935237657195591424,low,zr,8.815214094666636,0.9728559758845533,0.009900990099009901,0,100,0.009900990099009901,2,bootstrap maximum over 0.00078218208..48 d^-1
