source_id,wdj_name,wd_class,known_roster,in_core,n_variants,ls_complete,blind_status,best_pass,best_frequency_per_day,best_period_days,best_period_seconds,basis,best_band_fap,zg_fap,zr_fap,zg_amplitude_mmag,zr_amplitude_mmag,zg_alias,zr_alias,low_zg_a95_mmag,low_zr_a95_mmag,high_zg_a95_mmag,high_zr_a95_mmag,low_pass_available,high_pass_available,low_unavailable_reason,high_unavailable_reason,n_exp_zg,n_exp_zr,baseline_days,bootstrap_fap,bootstrap_exceedances,bootstrap_resamples,bootstrap_resolution,census_variable,census_verdict,disagreement
1110291480292939136,WDJ074629.95+703005.78,unclassified,False,True,4,True,candidate,low,11.096681379469246,0.090117032813988,7786.111635128566,zg,0.0005098506165417,0.0005098506165417,1.0,44.19736015823808,17.008483594706142,False,False,42.001310045856776,39.10320722079376,8.160819850584867,7.12551736706947,True,True,,,654,702,2761.203908827156,,,,,True,variable,census_only
1160300056558791168,WDJ150626.20+063846.26,unclassified,False,True,4,True,not_detected,high,913.7640683043192,0.0010943743956311,94.55394778253134,,0.996914399082738,1.0,0.996914399082738,0.763451992310249,6.044960467527152,False,False,12.131888492900424,6.952303379138014,4.552202133108139,4.685362662955737,True,True,,,519,843,2711.765608380083,,,,,True,variable,census_only
1180021786172275712,WDJ145832.64+100818.11,unclassified,False,True,4,True,not_detected,low,5.057574369522307,0.197723241802661,17083.288091749913,,0.5888750734909495,1.0,0.5888750734909495,8.876021903698133,6.521022777003306,False,False,18.326311650027204,5.334912067082185,2.550399722900817,3.185840733347927,True,True,,,536,761,2699.831777518615,,,,,True,variable,census_only
1325292217371985024,WDJ162436.81+321252.81,unclassified,False,True,4,True,not_detected,low,8.129016289760997,0.123016114663168,10628.592306897724,,0.074234320275355,0.074234320275355,1.0,8.683218485674432,1.7213726602171602,False,False,7.684092271770503,5.935531007707805,4.645962123578815,3.735599387287456,True,True,,,1614,1633,2761.7363774110563,,,,,True,variable,census_only
136610338318092544,WDJ024927.57+325112.43,unclassified,False,True,4,True,not_detected,low,11.304059912946258,0.0884637915670214,7643.27159139065,,0.2442310406012316,0.2442310406012316,1.0,11.15635336719241,1.376489930952577,False,False,9.485721128886205,6.380658705298441,2.52945405009171,3.633511201655576,True,True,,,620,830,2762.1934278886765,,,,,True,variable,census_only
1470268533506847744,WDJ132614.47+343111.49,unclassified,False,True,4,True,not_detected,high,758.500063850463,0.0013183914513119,113.90902139335036,,0.495642933002714,1.0,0.495642933002714,0.365014100474154,6.754287314759377,False,False,7.768630406486399,6.066470085122771,2.8770375687768746,4.801839615003503,True,True,,,709,696,2656.9242074256763,,,,,True,variable,census_only
1474090607723007104,WDJ130957.68+350947.19,unclassified,False,True,4,True,not_detected,high,519.5686049051412,0.0019246736437867,166.29180282317913,,0.0095121641135166,0.0095121641135166,1.0,4.776242060715484,2.131458643251262,False,False,9.658425970137673,9.237715785232638,3.1422559286309784,5.23371163345284,True,True,,,425,316,2450.1711528566666,,,,,True,variable,census_only
1479182789667845376,WDJ141201.54+340427.09,unclassified,False,True,4,True,not_detected,low,5.573546068393395,0.1794189888679354,15501.800638189625,,0.5251478113045625,0.5251478113045625,1.0,60.385846409216406,5.29921472225567,False,True,62.57591667214897,13.930211166419554,20.42864838924125,8.034125017701465,True,True,,,35,85,1067.0585524942726,,,,,True,variable,census_only
152371871863155840,WDJ041856.64+271748.31,unclassified,False,True,4,True,candidate,high,158.66398978895737,0.0063026273405208,544.5470022209994,zr,1.5464171122866343e-11,1.0,1.5464171122866343e-11,3.2473283513708378,10.452519850884515,False,False,12.167604200769,6.667251154174053,6.002824271832998,4.886396015937409,True,True,,,896,1673,2764.2490066080354,,,,,True,variable,census_only
1641326979142898048,WDJ154144.89+645352.98,unclassified,False,True,4,True,not_detected,low,23.153005523917468,0.0431909368728384,3731.696945813245,,0.0856590794715611,0.0856590794715611,1.0,10.395590123704556,1.3497745782804214,False,False,8.334134363544303,6.388870390803663,4.752100932420165,4.0361733262973,True,True,,,1241,1303,2758.782220909372,,,,,True,variable,census_only
