source_id,wdj_name,wd_class,known_roster,in_core,n_variants,ls_complete,blind_status,best_pass,best_frequency_per_day,best_period_days,best_period_seconds,basis,best_band_fap,zg_fap,zr_fap,zg_amplitude_mmag,zr_amplitude_mmag,zg_alias,zr_alias,low_zg_a95_mmag,low_zr_a95_mmag,high_zg_a95_mmag,high_zr_a95_mmag,low_pass_available,high_pass_available,low_unavailable_reason,high_unavailable_reason,n_exp_zg,n_exp_zr,baseline_days,bootstrap_fap,bootstrap_exceedances,bootstrap_resamples,bootstrap_resolution
1004340654352214656,WDJ063313.84+575609.40,unclassified,False,True,4,True,confirmed,low,3.822862251204872,0.2615841048640517,22600.86666025407,zg+zr,0.0,2.482952138832291e-186,0.0,50.930223461028895,132.19902964603378,False,False,10.219513973324416,33.5376777457628,4.895336411858702,7.065979826285233,True,True,,,1178,1732,2764.34234497184,0.009900990099009901,0.0,100.0,0.009900990099009901
1013776353903293056,WDJ084952.49+471247.88,unclassified,False,True,4,True,not_detected,low,30.2225489400628,0.0330878775970615,2858.792624386117,,0.0370160346460688,0.0370160346460688,1.0,13.925500801139917,1.7796157871650116,False,False,11.028865310759032,7.164008529945815,5.672294333752939,5.041469083668246,True,True,,,910,1341,2766.2259780205786,,,,
1022716139350977792,WDJ091233.53+531313.09,unclassified,False,True,4,True,not_detected,low,30.79451761349265,0.0324733127029679,2805.6942175364275,,0.0329351775941504,1.0,0.0329351775941504,4.390412238234067,8.28438110114065,False,False,9.382422076096937,6.412062782415733,4.218889966231731,3.932341664004027,True,True,,,550,1204,2766.2066692896187,,,,
1022780838739029120,WDJ091556.08+532523.86,unclassified,False,True,4,True,confirmed,low,0.7512619298996681,1.3310936707967502,115006.4931568392,multiband+zr,0.0002041218214041,0.0073366354395444,0.0002041218214041,12.258284265670556,13.90916921200104,False,False,10.146825931727273,5.216361827057937,5.254324825979826,2.108462930038146,True,True,,,110,347,2425.252668191679,,,,
1024785484658469120,WDJ093250.57+554315.39,unclassified,False,True,4,True,not_detected,low,4.620323649305061,0.2164350543171167,18699.98869299889,,0.0061559477735932,0.0061559477735932,1.0,17.604790213148963,2.577616103594361,False,False,13.701653115785582,9.003598951092886,6.079108193950438,6.040405295348401,True,True,,,859,1175,2766.191498710774,,,,
1025369256613064192,WDJ094213.14+573342.49,unclassified,False,True,4,True,not_detected,high,110.0861217106758,0.0090837971622632,784.8400748195419,,0.0063967547482468,1.0,0.0063967547482468,0.3882012645225185,7.509147001444323,False,False,8.993278407173827,8.120925658033508,4.389887015075096,5.04627729838783,True,True,,,846,1187,2766.1915215593763,,,,
1034050485029928704,WDJ083035.14+564459.53,unclassified,False,True,4,True,not_detected,low,12.228599830936991,0.0817755110008679,7065.404150474992,,0.4817134342903759,0.4817134342903759,1.0,66.80124874294357,10.511607821276629,False,False,50.56757466347519,30.23436680725989,17.88827096836194,18.97350302843671,True,True,,,37,70,2058.62489148695,,,,
1038176780370360576,WDJ091433.60+581238.12,unclassified,False,True,4,True,confirmed,low,0.88135120803886,1.1346214663109744,98031.2946892682,zg+zr,1.267757861735221e-119,1.267757861735221e-119,6.886859924707568e-119,43.22753011799809,37.98138877048757,False,False,9.71498266319205,9.107976571687814,3.349637716457543,4.420493661040623,True,True,,,860,1259,2766.207134866156,,,,
1039815430652482560,WDJ092253.62+611023.66,unclassified,False,True,4,True,not_detected,low,0.0339823358096074,29.427053090249327,2542497.386997542,,0.1167495385945302,0.1167495385945302,1.0,10.26719270181797,8.779849601125564,False,True,8.582028731964575,27.844614416325232,3.950676664591775,11.725936785901844,True,True,,,553,72,2766.1429904834367,,,,
103999471976858496,WDJ020127.21+234952.82,periodic/transit,True,True,4,True,confirmed,low,2.223364130335119,0.4497688823689325,38860.03143667577,zg+zr,9.804302054575496e-184,4.002621806800856e-140,9.804302054575496e-184,82.2116170663951,72.26515662207153,False,False,18.573577622035245,17.19721738775524,4.329975044477827,4.367796179065856,True,True,,,675,932,2662.9915987299755,,,,
