,Metric,Value
0,RMSE,0.03604253754019737
1,MAE,0.024216804653406143
2,R-squared,0.9983739256858826
3,Coverage (80%),0.7866379310344828
4,Coverage (95%),0.927801724137931
5,Sharpness (80% CI width),0.0733371302485466
6,Sharpness (95% CI width),0.13200591504573822
7,WIS,0.012496706992387772
