,Estimate,SE,CI Lower,CI Upper
ztfgc_beta[0],-0.00002,0.00027,-0.00053,0.00047
ztfgc_beta[1],-0.00074,0.00047,-0.00163,0.00011
ztfgc_beta[2],-0.00,0.00,-0.00,0.00
ztfgc_beta[3],0.00072,0.00038,0.00002,0.00144
ztfgc_beta[4],-0.01,1.01,-1.90,1.89
ztfgc_beta[5],-0.00,0.99,-1.89,1.87
ztfgc_beta[6],-0.00,0.00,-0.00,0.00
ztfgc_mu_artist,0.72284,0.00013,0.72259,0.72307
ztfgc_sigma_artist,0.00338,0.00010,0.00319,0.00358
ztfgc_sigma_obs,0.010067,0.00,0.009978,0.010156
