,R-hat,ESS Bulk,ESS Tail,MCSE Mean,Status
ztfgc_init_artist_effect[81],1.0000,25368,8875,0.0000,Pass
ztfgc_init_artist_effect[82],1.0000,28316,7370,0.0000,Pass
ztfgc_init_artist_effect[83],1.0000,26877,9498,0.0000,Pass
ztfgc_init_artist_effect[84],1.0000,28906,8816,0.0000,Pass
ztfgc_init_artist_effect[85],1.0000,27069,9012,0.0000,Pass
ztfgc_init_artist_effect[86],1.0000,24725,9849,0.0000,Pass
ztfgc_init_artist_effect[87],1.0000,27226,8570,0.0000,Pass
ztfgc_init_artist_effect[88],1.0000,25049,8820,0.0000,Pass
ztfgc_init_artist_effect[89],1.0000,24890,9053,0.0000,Pass
ztfgc_init_artist_effect[90],1.0000,24098,9259,0.0000,Pass
ztfgc_init_artist_effect[91],1.0000,29330,9536,0.0000,Pass
ztfgc_init_artist_effect[92],1.0000,26624,9484,0.0000,Pass
ztfgc_init_artist_effect[93],1.0000,30176,8589,0.0000,Pass
ztfgc_init_artist_effect[94],1.0000,26137,9336,0.0000,Pass
ztfgc_init_artist_effect[95],1.0000,27558,8618,0.0000,Pass
ztfgc_init_artist_effect[96],1.0000,27757,9497,0.0000,Pass
ztfgc_init_artist_effect[97],1.0000,24723,8606,0.0000,Pass
ztfgc_init_artist_effect[98],1.0000,25740,8783,0.0000,Pass
ztfgc_init_artist_effect[99],1.0000,26244,9151,0.0000,Pass
ztfgc_init_artist_effect[100],1.0000,26541,9823,0.0000,Pass
ztfgc_init_artist_effect[101],1.0000,24548,9243,0.0000,Pass
ztfgc_init_artist_effect[102],1.0000,26697,8290,0.0000,Pass
ztfgc_init_artist_effect[103],1.0000,23321,9452,0.0000,Pass
ztfgc_init_artist_effect[104],1.0000,25592,9582,0.0000,Pass
ztfgc_init_artist_effect[105],1.0000,26899,8844,0.0000,Pass
ztfgc_init_artist_effect[106],1.0000,28868,8880,0.0000,Pass
ztfgc_init_artist_effect[107],1.0000,25224,8832,0.0000,Pass
ztfgc_init_artist_effect[108],1.0000,24467,8988,0.0000,Pass
ztfgc_init_artist_effect[109],1.0000,29284,8274,0.0000,Pass
ztfgc_init_artist_effect[110],1.0000,23426,9702,0.0000,Pass
ztfgc_init_artist_effect[111],1.0000,28220,8500,0.0000,Pass
ztfgc_init_artist_effect[112],1.0000,27829,9044,0.0000,Pass
ztfgc_init_artist_effect[113],1.0000,23874,9637,0.0000,Pass
ztfgc_init_artist_effect[114],1.0000,22537,9174,0.0000,Pass
ztfgc_init_artist_effect[115],1.0000,26102,9209,0.0000,Pass
ztfgc_init_artist_effect[116],1.0000,23775,9219,0.0000,Pass
ztfgc_init_artist_effect[117],1.0000,25906,9405,0.0000,Pass
ztfgc_init_artist_effect[118],1.0000,26940,8458,0.0000,Pass
ztfgc_init_artist_effect[119],1.0000,21692,9059,0.0000,Pass
ztfgc_init_artist_effect[120],1.0000,28838,8907,0.0000,Pass
ztfgc_init_artist_effect[121],1.0000,23250,9239,0.0000,Pass
ztfgc_init_artist_effect[122],1.0000,22172,9515,0.0000,Pass
ztfgc_init_artist_effect[123],1.0000,29430,9552,0.0000,Pass
ztfgc_init_artist_effect[124],1.0000,29129,8267,0.0000,Pass
ztfgc_init_artist_effect[125],1.0000,27721,8390,0.0000,Pass
ztfgc_init_artist_effect[126],1.0000,26339,8645,0.0000,Pass
ztfgc_init_artist_effect[127],1.0000,28341,8045,0.0000,Pass
ztfgc_init_artist_effect[128],1.0000,25790,9180,0.0000,Pass
ztfgc_init_artist_effect[129],1.0000,27941,8904,0.0000,Pass
ztfgc_init_artist_effect[130],1.0000,27712,8847,0.0000,Pass
ztfgc_init_artist_effect[131],1.0000,27051,9732,0.0000,Pass
ztfgc_init_artist_effect[132],1.0000,25482,8917,0.0000,Pass
ztfgc_init_artist_effect[133],1.0000,26042,8351,0.0000,Pass
ztfgc_init_artist_effect[134],1.0000,24118,8992,0.0000,Pass
ztfgc_init_artist_effect[135],1.0000,26236,8971,0.0000,Pass
ztfgc_init_artist_effect[136],1.0000,24325,9216,0.0000,Pass
ztfgc_init_artist_effect[137],1.0000,27232,8353,0.0000,Pass
ztfgc_init_artist_effect[138],1.0000,25161,9393,0.0000,Pass
ztfgc_init_artist_effect[139],1.0000,28122,9180,0.0000,Pass
ztfgc_init_artist_effect[140],1.0000,24807,9160,0.0000,Pass
ztfgc_init_artist_effect[141],1.0000,23574,8412,0.0000,Pass
ztfgc_init_artist_effect[142],1.0000,22633,8650,0.0000,Pass
ztfgc_init_artist_effect[143],1.0000,25644,9525,0.0000,Pass
ztfgc_init_artist_effect[144],1.0000,25235,9350,0.0000,Pass
