endpoint,n_pairs_scored,n_targets,n_unique_windows,both,b_only,c_only,neither,union,p_b,p_b_lo,p_b_hi,p_c,p_c_lo,p_c_hi,paired_diff_b_minus_c,paired_diff_b_minus_c_lo,paired_diff_b_minus_c_hi,p_b_and_not_c,p_b_and_not_c_lo,p_b_and_not_c_hi,n_pairs_not_run,p_b_recovery
D,309,103,106,118.0,54.0,11.0,126.0,183.0,0.5566343042071197,0.5177993527508089,0.6019417475728155,0.4174757281553399,0.3656957928802591,0.4692556634304207,0.13915857605177995,0.09061488673139159,0.1909385113268608,0.17475728155339806,0.13592233009708737,0.2200647249190938,,
R,309,103,106,0.0,67.0,0.0,242.0,67.0,0.21682847896440124,0.17152103559870543,0.262135922330097,0.0,0.0,0.0,0.21682847896440124,0.17152103559870543,0.262135922330097,0.21682847896440124,0.17152103559870543,0.262135922330097,,
quiet_control_conditioned,148,95,51,,,,,,0.17894736842105263,,,,,,,,,,,,0.0,0.11578947368421053
