dataset,selection,bin_index,freq_lo_per_day,freq_hi_per_day,n_confirmed_total,n_bin,share_of_confirmed,density_per_day,analysis_status,prespecified,interval
D3,"dsct_flag0 and best_status==""confirmed""",4,0.98,1.02,963,83,0.08618899273104881,2.154724818276218,postlaunch_descriptive,False,none
D3,"dsct_flag0 and best_status==""confirmed""",5,1.02,1.25,963,25,0.02596053997923157,0.11287191295318075,postlaunch_descriptive,False,none
D3,"dsct_flag0 and best_status==""confirmed""",6,1.25,1.5,963,11,0.01142263759086189,0.04569055036344756,postlaunch_descriptive,False,none
D3,"dsct_flag0 and best_status==""confirmed""",7,1.5,1.75,963,8,0.008307372793354102,0.033229491173416406,postlaunch_descriptive,False,none
D3,"dsct_flag0 and best_status==""confirmed""",8,1.75,1.98,963,130,0.13499480789200416,0.5869339473565399,postlaunch_descriptive,False,none
D3,"dsct_flag0 and best_status==""confirmed""",9,1.98,2.02,963,33,0.03426791277258567,0.856697819314641,postlaunch_descriptive,False,none
D3,"dsct_flag0 and best_status==""confirmed""",10,2.02,2.25,963,10,0.010384215991692628,0.045148765181272296,postlaunch_descriptive,False,none
D3,"dsct_flag0 and best_status==""confirmed""",11,2.25,2.5,963,2,0.0020768431983385254,0.008307372793354102,postlaunch_descriptive,False,none
D3,"dsct_flag0 and best_status==""confirmed""",12,2.5,2.75,963,5,0.005192107995846314,0.020768431983385256,postlaunch_descriptive,False,none
D3,"dsct_flag0 and best_status==""confirmed""",13,2.75,2.98,963,16,0.016614745586708203,0.07223802429003567,postlaunch_descriptive,False,none
D3,"dsct_flag0 and best_status==""confirmed""",14,2.98,3.02,963,5,0.005192107995846314,0.12980269989615772,postlaunch_descriptive,False,none
D3,"dsct_flag0 and best_status==""confirmed""",15,3.02,3.25,963,4,0.004153686396677051,0.01805950607250892,postlaunch_descriptive,False,none
D3,"dsct_flag0 and best_status==""confirmed""",16,3.25,3.5,963,4,0.004153686396677051,0.016614745586708203,postlaunch_descriptive,False,none
