sid,class_label,arm,scenario,best_status,best_pass,best_frequency_per_day,baseline_days
9400000000000000412,arm_gauss_null,gauss_null,gauss_null,candidate,high,1391.0923565668224,1953.8449521493167
9400000000000000431,arm_gauss_null,gauss_null,gauss_null,confirmed,high,977.9678846429855,2762.243616813328
9400000000000000449,arm_gauss_null,gauss_null,gauss_null,confirmed,high,583.6520104791867,2607.0046612550505
9400000000000000543,arm_gauss_null,gauss_null,gauss_null,confirmed,high,1231.4388817094039,2498.070623442065
9400000000000000555,arm_gauss_null,gauss_null,gauss_null,candidate,high,912.2525286128555,2494.085216351319
9400000000000000629,arm_gauss_null,gauss_null,gauss_null,confirmed,high,723.140530599322,2746.6166184842587
9400000000000000662,arm_gauss_null,gauss_null,gauss_null,confirmed,high,1159.2579675702405,2744.772896568291
9400000000000000697,arm_gauss_null,gauss_null,gauss_null,candidate,high,1012.7501107595803,2262.8345379210077
9400000000000000705,arm_gauss_null,gauss_null,gauss_null,confirmed,high,1226.8874934056075,2499.0722877075896
9400000000000000708,arm_gauss_null,gauss_null,gauss_null,confirmed,high,931.2151451490888,2177.9240685794502
9400000000000000710,arm_gauss_null,gauss_null,gauss_null,confirmed,high,1057.8330403185644,2177.924105913844
9400000000000000728,arm_gauss_null,gauss_null,gauss_null,candidate,high,964.3618077022594,1538.7824007184245
9400000000000000737,arm_gauss_null,gauss_null,gauss_null,confirmed,high,990.7899330697498,1954.7031214935705
9400000000000000741,arm_gauss_null,gauss_null,gauss_null,candidate,high,1212.5302843580391,1938.7844216730446
9400000000000000757,arm_gauss_null,gauss_null,gauss_null,candidate,high,1029.3126243267186,1994.794108293485
9400000000000000764,arm_gauss_null,gauss_null,gauss_null,confirmed,high,1054.4531001895832,1933.7866998831742
9400000000000000772,arm_gauss_null,gauss_null,gauss_null,confirmed,high,1255.4428538598509,1594.8194379010238
9400000000000000863,arm_gauss_null,gauss_null,gauss_null,candidate,high,1152.175677982424,2208.897469281219
9400000000000000864,arm_gauss_null,gauss_null,gauss_null,confirmed,high,1076.8267758066152,2208.9293827260844
9400000000000000947,arm_gauss_null,gauss_null,gauss_null,confirmed,high,756.0726593741157,2762.206420505885
