arm,scenario,ratio_g,ratio_rg,phase_draw,amp_scale,dominant_dropped,cadence_code,endpoint,denominator,contrast,n_targets_matched,p_scenario,lo_scenario,hi_scenario,p_nominal_k1,lo_nominal_k1,hi_nominal_k1,diff,diff_lo,diff_hi,discordance_u95,interval,prespecified_primary,confirmatory_decision
B,ampscale_0.7,1.7,0.8,0,0.7,False,0,recovery,usable,scenario_minus_nominal_k1,103,0.04854368932038835,0.009708737864077669,0.08737864077669903,0.10679611650485436,0.04854368932038835,0.1650485436893204,-0.05825242718446602,-0.10679611650485436,-0.019417475728155338,,paired_cluster_bootstrap_common_draws,False,False
B,ampscale_0.7,1.7,0.8,0,0.7,False,0,recovery,eligible,scenario_minus_nominal_k1,103,0.04854368932038835,0.009708737864077669,0.08737864077669903,0.10679611650485436,0.04854368932038835,0.1650485436893204,-0.05825242718446602,-0.10679611650485436,-0.019417475728155338,,paired_cluster_bootstrap_common_draws,False,False
B,ampscale_0.7,1.7,0.8,0,0.7,False,0,trigger,usable,scenario_minus_nominal_k1,103,0.46601941747572817,0.36893203883495146,0.5631067961165048,0.5242718446601942,0.42718446601941745,0.6213592233009708,-0.05825242718446602,-0.11650485436893204,-0.009708737864077669,,paired_cluster_bootstrap_common_draws,False,False
B,ampscale_0.7,1.7,0.8,0,0.7,False,0,trigger,eligible,scenario_minus_nominal_k1,103,0.46601941747572817,0.36893203883495146,0.5631067961165048,0.5242718446601942,0.42718446601941745,0.6213592233009708,-0.05825242718446602,-0.11650485436893204,-0.009708737864077669,,paired_cluster_bootstrap_common_draws,False,False
B,ampscale_1.3,1.7,0.8,0,1.3,False,0,recovery,usable,scenario_minus_nominal_k1,103,0.14563106796116504,0.08737864077669903,0.21359223300970873,0.10679611650485436,0.04854368932038835,0.1650485436893204,0.038834951456310676,0.009708737864077669,0.07766990291262135,,paired_cluster_bootstrap_common_draws,False,False
B,ampscale_1.3,1.7,0.8,0,1.3,False,0,recovery,eligible,scenario_minus_nominal_k1,103,0.14563106796116504,0.08737864077669903,0.21359223300970873,0.10679611650485436,0.04854368932038835,0.1650485436893204,0.038834951456310676,0.009708737864077669,0.07766990291262135,,paired_cluster_bootstrap_common_draws,False,False
B,ampscale_1.3,1.7,0.8,0,1.3,False,0,trigger,usable,scenario_minus_nominal_k1,103,0.5533980582524272,0.4563106796116505,0.6504854368932039,0.5242718446601942,0.42718446601941745,0.6213592233009708,0.02912621359223301,-0.009708737864077669,0.07766990291262135,,paired_cluster_bootstrap_common_draws,False,False
B,ampscale_1.3,1.7,0.8,0,1.3,False,0,trigger,eligible,scenario_minus_nominal_k1,103,0.5533980582524272,0.4563106796116505,0.6504854368932039,0.5242718446601942,0.42718446601941745,0.6213592233009708,0.02912621359223301,-0.009708737864077669,0.07766990291262135,,paired_cluster_bootstrap_common_draws,False,False
B,cadence_alt,1.7,0.8,0,1.0,False,1,recovery,usable,scenario_minus_nominal_k1,33,0.15151515151515152,0.034482758620689655,0.28125,0.09090909090909091,0.0,0.19357078853046583,0.06060606060606061,0.0,0.15157342657342626,,paired_cluster_bootstrap_common_draws,False,False
B,cadence_alt,1.7,0.8,0,1.0,False,1,recovery,eligible,scenario_minus_nominal_k1,33,0.15151515151515152,0.034482758620689655,0.28125,0.09090909090909091,0.0,0.19357078853046583,0.06060606060606061,0.0,0.15157342657342626,,paired_cluster_bootstrap_common_draws,False,False
