quantity,rule,n,ess,p,lo,hi
negative_class_trigger_rate,confirmed,2314,2314.0,0.4161624891961971,0.3962338983688841,0.4363689750832922
negative_class_trigger_rate,confirmed_or_candidate,2314,2314.0,0.5721694036300778,0.5519073522377032,0.592192236079238
negative_class_trigger_rate,census,2314,2314.0,0.02808988764044944,0.022100108420228266,0.03564390090851675
negative_class_trigger_rate,either,2314,2314.0,0.4291270527225583,0.4090944562406422,0.44939457080140366
