dataset,arm,endpoint,n,estimate,lo,hi,diff,diff_lo,diff_hi,mcnemar_vs_frozen,interval_type,frame,source_file,source_locator,notes
D3,frozen,either_rate,610,0.5475409836065573,0.5078675849305893,0.5866193532951686,,,,,Wilson 95%,dSct=1 eligible roster,generalization/results/2026-09-02_d3/metrics/completeness_by_class_pass_rule.csv,"CSV line 32, column p",
D3,frozen,union_rate,585,0.5709401709401709,0.5304983466149248,0.6104564023360556,,,,,Wilson 95%,positives with both methods available and usable,generalization/results/2026-09-02_d3/metrics/contingency_complementarity.json,JSON key $.union_completeness.p,
D3,frozen,incremental_census,585,0.011965811965811967,0.0058080726976210036,0.024491184519128337,,,,,Wilson 95%,positives with both methods available and usable,generalization/results/2026-09-02_d3/metrics/contingency_complementarity.json,JSON key $.incremental_census_only.p,
D3,frozen,mcnemar_p,585,8.948591379055871e-82,,,,,,,exact two-sided McNemar,positives with both methods available and usable,generalization/results/2026-09-02_d3/metrics/contingency_complementarity.json,JSON key $.mcnemar_exact_p_secondary,secondary marginal-homogeneity test
D3,frozen,ppv,1290,0.09727346142899344,0.09374390140765886,0.10097766514186661,,,,,survey_bootstrap_fpc_rescaled,triggered weighted frame; dSct=2 excluded,generalization/results/2026-09-02_d3/metrics/ppv.csv,"CSV line 2, column p",frame-specific label PPV; no transfer to other prevalences
D3,frozen,chance_match_mean,100,0.0037273546747527506,,,,,,,truth-list permutation calibration,frequency-scorable stars,generalization/results/2026-09-02_d3/metrics/chance_match.json,JSON key $.accidental_direct_match_rate_mean,calibration; not an observed recovery estimate
D3,frozen,chance_match_p95,100,0.00907132549989693,,,,,,,truth-list permutation calibration,frequency-scorable stars,generalization/results/2026-09-02_d3/metrics/chance_match.json,JSON key $.accidental_direct_match_rate_p95,calibration; not an observed recovery estimate
D3,v2,P1_detection,,,,,,,,,,,,,bundle not available
D3,v2,P2_recovery,,,,,,,,,,,,,bundle not available
D3,v2,P3_negative_trigger,,,,,,,,,,,,,bundle not available
D3,v2,chance_match_mean,,,,,,,,,,,,,bundle not available
D3,v2,chance_match_p95,,,,,,,,,,,,,bundle not available
