source_id,wdj_name,wd_class,paper_variable,paper_periodic,zg_exposure_ratio,zg_nightly_ratio,zg_monthly_ratio,zr_exposure_ratio,zr_nightly_ratio,zr_monthly_ratio
1510467090935595008,WDJ135309.97+484021.17,V777 Her,True,True,1.478166444675142,1.9763805260874034,1.2870847604921238,1.2425053966404216,1.7268220973083337,1.366871900722975
3446909137068558464,WDJ052038.32+304823.92,ZZ Ceti,True,True,0.5443362672669831,1.4942634102450087,0.7936999416654371,1.1682917891389055,1.3645505474343376,0.7873117603950214
3984115430179696128,WDJ111026.19+191229.75,Old DAVs,True,True,0.7489196420003775,2.106692936627912,1.5437292208336661,0.8449584980299178,1.5286854963678616,0.9628228818209894
2935237657195591424,WDJ070223.05-174931.25,WD-MS binaries,True,True,1.582558111293876,6.0400081634973315,3.924704769539477,8.401473145922198,11.755938686591616,9.228724908343226
1893101535448502400,WDJ220247.69+275010.67,GW Vir,True,True,0.7041567787523358,1.4686673629441225,1.1196744531258789,0.8926183739415966,1.248181267897712,0.5827126666889919
3750072904055666176,WDJ105010.80-140436.76,CV(SIMBAD),True,False,0.1486612023262144,4.272404660076294,4.8477117360517195,0.2543054904210033,6.498035321684007,6.804323757665301
1228266814506156928,WDJ143406.77+150817.81,unclassified,False,False,0.6836151806293036,1.0990044990896597,0.7136030670738992,0.804191085965689,1.1408234154979398,0.6351692143130241
114808397128552576,WDJ024849.59+264332.15,unclassified,False,False,0.6699925707143648,0.9783607000373533,0.4228307439080788,0.9607529136320063,1.0275370109665762,0.6367453485998925
1410345596469085184,WDJ163914.29+474835.84,unclassified,False,False,1.9477048604377105,2.216974666379869,1.4820708197989045,1.4220697011519323,1.731940415695532,0.8181255983671396
5146019876066016000,WDJ022917.15-150350.42,unclassified,False,False,0.4929072310888955,1.8042143212779806,0.9385537635191729,0.5814633810798838,1.7921228694340985,1.320936688308571
1893512958955407232,WDJ220420.60+282321.36,unclassified,False,False,1.1603828017382842,1.8059535213390212,0.952043267916667,0.9804057041522307,1.373918681553499,0.7232726825734237
103999471976858496,,periodic/transit,True,True,1.1160452222787893,4.209531737309167,2.8286590031855954,1.1944252937870896,3.603751525981389,1.5923568254970373
1191504471436192512,,WD-MS binaries,True,True,13.994517015559763,15.872030618254914,6.8533199815853525,12.323033771237302,25.862248419734488,11.803546088406005
930093722208184448,,WD-MS binaries,True,True,1.0460314832874777,5.213288857376536,1.8593902422056727,9.909490266587387,13.481666468549557,7.0160687373255985
4318508939464901760,,periodic/double-band,True,True,10.990163263095429,23.58109005453218,16.42449532902011,11.853720898738429,19.08946757883307,15.224074862046482
6770227729752288256,,periodic/double-band,True,True,0.697430540943274,2.87151464378394,1.4629499903453242,2.6159250718532725,3.5919506132056935,2.111474491191814
6844375121726139520,,periodic/double-band,True,True,0.6327452085007612,2.739089840031332,1.8067241174641637,1.0259148721748306,2.181237811591651,1.3344572466143056
2833849800205759360,,unclassified,,,0.8721085213044496,1.3184114488792253,0.6763728429955519,1.4211128659886034,2.4530505993880976,1.2464751846144828
3345661467822106624,,RRLyrae_contaminant(non-WD),True,True,0.7416325700435917,3.8912810055740135,2.7075341986270325,2.8719553617425317,7.546143185305242,5.031322204962537
